questionId,questions,lang
103,Cine este primarul din Berlin?,ro
104,How many students does the Free University in Amsterdam have?,en
104,Wieviele Studenten hat die Freie Universität in Amsterdam?,de
104,¿Cuántos estudiantes tiene la Universidad Libre de Amsterdam?,es
104,Quanti studenti ci sono nella Libera Università di Amsterdam?,it
104,Combien d'étudiants a l'université libre d'Amsterdam?,fr
104,Hoeveel studenten heeft de Vrije Universiteit in Amsterdam?,nl
104,Câți studenți are Universitatea Liberă din Amsterdam?,ro
105,What is the second highest mountain on Earth?,en
105,Was ist der zweithöchste Berg der Erde?,de
105,¿Cuál es la segunda montaña más alta de la tierra?,es
105,Qual è la seconda montagna più alta sulla Terra?,it
105,Quelle est la deuxième plus haute montagne de la Terre?,fr
105,Wat is de op één na hoogste berg ter wereld?,nl
105,Care este al doilea cel mai înalt munte de pe Pământ?,ro
106,Give me all professional skateboarders from Sweden.,en
106,Gib mir alle Profiskateboarder aus Schweden.,de
106,Dame todos las skateboarders profesionales de Suecia.,es
106,Dammi tutti gli skateboarders professionisti della Svezia.,it
106,Donne-moi tous les skateboarders professionnels de Suède.,fr
106,Noem alle professionele skateboarders uit Zweden.,nl
106,Dă-mi toți skateboarderii profesioniști din Suedia.,ro
107,When was Alberta admitted as province?,en
107,Wann wurde die Provinz Alberta gegründet?,de
107,¿Cúando fué fundada la provincia de Alberta?,es
107,Quando Alberta è stata ammessa come provincia?,it
107,Quand a Alberta reçu le status de province?,fr
107,Wanneer werd de provincie Alberta gesticht?,nl
107,Când a fost Alberta recunoscută ca provincie?,ro
108,To which countries does the Himalayan mountain system extend?,en
108,Über welche Länder erstreckt sich der Himalaya?,de
108,¿Por qué países se extiende el Himalaya?,es
108,Su quali stati si estende la catena montuosa dell'Himalaya?,it
108,Quels sont les pays chevauchés par l'Himalaya?,fr
108,Over welke landen strekt de Himalaya zich uit?,nl
108,Peste ce țări se întinde lanțul munților Himalaya?,ro
109,Give me a list of all bandleaders that play trumpet.,en
109,"Gib mir eine Liste aller Bandleader, die Trompete spielen.",de
109,Dame una lista de todos los líderes de un grupo que tocan la trompeta.,es
109,Dammi la lista di tutti i direttori di orchestra che suonano la tromba.,it
109,Donne-moi une liste de tous les chefs d'orchestre qui jouent trompette.,fr
109,Geef me een lijst van alle bandleider die trompet spelen.,nl
109,Dă-mi o listă a tuturor conducătorilor de formații care cântă la trompetă.,ro
11,Which countries have more than ten caves?,en
11,In welchen Ländern gibt es mehr als zehn Höhlen?,de
11,¿Qué países tienen más de diez cuevas?,es
11,Quali nazioni hanno più di dieci grotte?,it
11,Quels pays ont plus de dix grottes?,fr
11,Welke landen hebben meer dan tien grotten?,nl
11,Ce țări au mai mult de zece peșteri?,ro
110,What is the total amount of men and women serving in the FDNY?,en
110,Wieviele Männer und Frauen arbeiten in der New Yorker Berufsfeuerwehr?,de
110,¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?,es
110,Qual è il totale di uomini e donne che prestano servizio nel dipartimento dei vigili del fuoco di New York?,it
110,Combien d'hommes et femmes sont membres du corps des sapeurs-pompiers professionnels de New York?,fr
110,Wat is het totale aantal vrouwen en mannen dat werkt bij de brandweer van New York?,nl
110,Care este numărul total de bărbați și femei membri ai Departamentului de Pompieri din New York?,ro
200,Who produces Orangina?,en
200,Wer stellt Orangina her?,de
200,¿Quién produce Orangina?,es
200,Chi produce l'Orangina?,it
200,Qui produit Orangina?,fr
200,Wie is de producent van Orangina?,nl
200,Cine produce Orangina?,ro
111,Who is the Formula 1 race driver with the most races?,en
111,Wer ist der Formel-1-Fahrer mit den meisten Rennen?,de
111,¿Quién es el conductor de Formula 1 con más carreras?,es
111,Qual è il pilota di Formula 1 con più gare?,it
111,Quel est le pilote de Formule 1 qui a gagné le plus de courses?,fr
111,Wie is de Formule 1-coureur met de meeste races op zijn naam?,nl
111,Cine este pilotul de curse Formula 1 cu cele mai multe curse?,ro
112,Give me all world heritage sites designated within the past two years.,en
112,"Gib mir alle Welterbestätten, die in den vergangenen zwei Jahren aufgenommen wurden.",de
112,¿Qué patrimonios de la humanidad fueron reconocidos en los últimos dos años?,es
112,Dammi tutti i siti designati patrimoni dell'umanità negli ultimi due anni.,it
112,Donne-moi tous les patrimoines mondiaux qui ont été inscrits pendant les derniers deux ans.,fr
112,Noem alle plaatsen op de Werelderfgoedlijst die in de laatste twee jaar zijn toegevoegd.,nl
112,Dă-mi toate siturile de patrimoniu mondial desemnate in ultimii doi ani.,ro
113,Who is the youngest player in the Premier League?,en
113,Wer ist der jüngste Spieler in der Premier League?,de
113,¿Quién es el jugador más jóven de la Premier League?,es
113,Chi è il giocatore più giovane della Premier League?,it
113,Quel est le joueur le plus jeune de la Premier League?,fr
113,Wie is de jongste speler in de Premier League?,nl
113,Cine este cel mai tânăr jucător din Premier League?,ro
114,Give me all members of Prodigy.,en
114,Gib mir alle Bandmitglieder von Prodigy.,de
114,Dame todos los miembros de la banda Prodigy.,es
114,Dammi tutti i membri dei Prodigy.,it
114,Donne-moi tous les membres de Prodigy.,fr
114,Noem alle leden van Prodigy.,nl
114,Dă-mi toții membrii Prodigy.,ro
115,What is the longest river?,en
115,Was ist der längste Fluss?,de
115,¿Cuál es el río más largo?,es
115,Qual è il fiume più lungo?,it
115,Quel est le cours d'eau le plus long?,fr
115,Wat is de langste rivier?,nl
115,Care este cel mai lung fluviu?,ro
116,Does Breaking Bad have more episodes than Game of Thrones?,en
116,Hat Breaking Bad mehr Episoden als Game of Thrones?,de
116,¿Tiene Breaking Bad más episodios que Game of Thrones?,es
116,Breaking Bad ha più episodi di Game of Thrones?,it
116,A Breaking Bad plus d'épisodes que Game of Thrones?,fr
116,Heeft Breaking Bad meer afleveringen dan Game of Thrones?,nl
116,Are Breaking Bad mai multe episoade decât Game of Thrones?,ro
117,Give me all cars that are produced in Germany.,en
117,"Gib mir alle Autos, die in Deutschland hergestellt werden.",de
117,Dame todos los coches producidos en Alemania.,es
117,Dammi tutte le automobili che sono prodotte in Germania.,it
117,Donne-moi toutes les voitures qui sont produites en Allemagne.,fr
117,Geef alle auto's die in Duitsland gemaakt worden.,nl
117,Dă-mi toate mașinile care sunt produse în Germania.,ro
118,What were the main discoveries of the Mars rover Curiosity?,en
118,Was waren die wichtigsten Entdeckungen des Marsrovers Curiosity?,de
118,¿Cuáles fueron los principales descubrimientos de Mars rover Curiosity?,es
118,Quali sono state le scoperte piu' importanti del Mars rover Curiosity?,it
118,Quelles sont les découvertes les plus importantes du Mars Rover Curiosity?,fr
118,Wat zijn de meest belangrijke ontdekkingen van de Mars rover Curiosity?,nl
118,Care au fost descoperirile principale ale Mars rover Curiosity?,ro
119,Give me all people that were born in Vienna and died in Berlin.,en
119,"Gib mir alle Personen, die in Wien geboren wurden und in Berlin gestorben sind.",de
119,Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.,es
119,Dammi tutte le persone che sono nate a Vienna e morte a Berlino.,it
119,Donne-moi toutes les personnes qui sont nées à Vienne et mortes à Berlin.,fr
119,Noem alle personen die geboren zijn in Wenen en gestorven zijn in Berlijn.,nl
119,Dă-mi toți oamenii care s-au născut în Viena și au murit în Berlin.,ro
12,Is proinsulin a protein?,en
12,Ist Proinsulin ein Protein?,de
12,¿La proinsulina es una proteina?,es
12,La proinsulina è una proteina?,it
12,La pro-insuline est-elle une protéine?,fr
12,Is proinsuline een proteïne?,nl
12,Este proinsulina o proteină?,ro
120,How tall is Michael Jordan?,en
120,Wie groß ist Michael Jordan?,de
120,¿Qué altura tiene Michael Jordan?,es
120,Quanto è alto Michael Jordan?,it
120,Quelle est la taille de Michael Jordan?,fr
120,Hoe lang is Michael Jordan?,nl
120,Ce înățime are Michael Jordan?,ro
121,What is the capital of Canada?,en
121,Was ist die Hauptstadt von Kanada?,de
121,¿Cuál es la capital de Canadá?,es
121,Qual è la capitale del Canada?,it
121,Quelle est la capitale du Canada?,fr
121,Wat is de hoofdstad van Canada?,nl
121,Care este capitala Canadei?,ro
122,Who is the governor of Wyoming?,en
122,Wer ist der Gouverneur von Wyoming?,de
122,¿Quién es el gobernador de Wyoming?,es
122,Chi è il governatore del Wyoming?,it
122,Qui est le gouverneur du Wyoming?,fr
122,Wie is de gouverneur van Wyoming?,nl
122,Cine este guvernatorul din Wyoming?,ro
123,Do Prince Harry and Prince William have the same parents?,en
123,Haben Prinz Harry und Prinz William dieselben Eltern?,de
123,¿Tienen el príncipe Harry y el prínciple William la misma madre?,es
123,Il principe Harry e il principe William hanno gli stessi genitoris?,it
123,Ont les princes Harry et William la même mère?,fr
123,Hebben prins Harry en prins William dezelfde ouders?,nl
123,Prințul Harry și Prințul William au aceiași părinți?,ro
124,Who was the father of Queen Elizabeth II?,en
124,Wer war der Vater von Königin Elizabeth II?,de
124,¿Quién fue el padre de la reina Isabel II?,es
124,Chi fu il padre della regina Elisabetta II?,it
124,Qui est le père de la reine Élisabeth II?,fr
124,Wie was de vader van koningin Elizabeth II?,nl
124,Cine a fost tatăl reginei Elisabeta a II-a?,ro
125,Which U.S. state has been admitted latest?,en
125,Welcher US-Bundesstaat wurde zuletzt aufgenommen?,de
125,¿Qué estado americano fué el último en ser admitido?,es
125,Quale stato degli Stati Uniti è stato ammesso per ultimo?,it
125,Quel état américan fut le dernier à être admis?,fr
125,Welke staat van de Verenigde Staten is als laatste toegetreden?,nl
125,Care stat american a fost recunoscut ultimul?,ro
126,How many languages are spoken in Turkmenistan?,en
126,Wieviele Sprachen werden in Turkmenistan gesprochen?,de
126,¿Cuántos idiomas se hablan en Turkmenistán?,es
126,Quante lingue sono parlate in Turkmenistan?,it
126,Combien de langues sont parlées au Turkménistan?,fr
126,Hoeveel talen worden er gesproken in Turkmenistan?,nl
126,Câte limbi sunt vorbite în Turkmenistan?,ro
127,Sean Parnell is the governor of which U.S. state?,en
127,Von welchem US-Bundesstaat ist Sean Parnell der Gouverneur?,de
127,¿De qué estado americano es Sean Parnell el gobernador?,es
127,Di quale stato americano Sean Parnell è governatore?,it
127,Quel est l'état américain dont Sean Parnelle st le gouverneur?,fr
127,Sean Parnell is de gouverneur van welke staat van de Verenigde Staten?,nl
127,Sean Parnell este guvernatorul cărui stat american?,ro
128,Give me all movies directed by Francis Ford Coppola.,en
128,"Gib mir alle Filme, bei denen Francis Ford Coppola Regie geführt hat.",de
128,Dame todas las películas que haya dirigido Francis Ford Coppola.,es
128,Dammi tutti i film diretti da Francis Ford Coppola.,it
128,Donnes-moi tous les films dont Francis réalisés par Francis Ford Coppola.,fr
128,Geef alle films die werden geregisseerd door Francis Ford Coppola.,nl
128,Dă-mi toate filmele regizate de Francis Ford Coppola.,ro
129,Give me all actors starring in movies directed by William Shatner.,en
129,"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat.",de
129,Dame todos los actores de películas dirigidas por William Shatner.,es
129,Dammi tutti gli attori che recitano in film diretti da William Shatner.,it
129,Donnes-moi tous les acteurs qui ont joué dans des films réalisés par Williams Shatner.,fr
129,Geef alle acteurs van films waar William Shatner de regie van voerde.,nl
129,Dă-mi toți actorii care joacă roluri principale în filme regizate de William Shatner.,ro
13,Are tree frogs a type of amphibian?,en
13,Sind Laubfrösche Amphibien?,de
13,¿Son las ranas verdes un tipo de anfibio?,es
13,Le rane verdi sono un tipo di anfibio?,it
13,Sont les grenouilles arboricoles un type d'amphibiens?,fr
13,Zijn boomkikkers een soort amfibie?,nl
13,Sunt broaștele de copac un tip de amfibieni?,ro
130,What is the birth name of Angela Merkel?,en
130,Was ist der Geburtsname von Angela Merkel?,de
130,¿Cuál es el nombre de soltera de Angela Merkel?,es
130,Qual è il nome da nubile di Angela Merkel?,it
130,Quel est le nom de jeune fille d'Angela Merkel?,fr
130,Wat is de meisjesnaam van Angela Merkel?,nl
130,Care este numele de domnișoară al Angelei Merkel?,ro
131,Give me all Methodist politicians.,en
131,"Gib mir alle Politiker, die Methodisten sind.",de
131,Dame todos los políticos que sean metodístas.,es
131,Dammi tutti i politici metodisti.,it
131,Donnes-moi tous les politiciens qui sont méthodistes.,fr
131,Geef alle politici die methodist zijn.,nl
131,Dă-mi toți politicienii metodiști,ro
132,How often did Jane Fonda marry?,en
132,Wie oft hat Jane Fonda geheiratet?,de
132,¿Cuántas veces ha estado casada Jane Fonda?,es
132,Quante volte si è sposata Jane Fonda?,it
132,Combien de fois s'est mariée Jane Fonda?,fr
132,Hoe vaak is Jane Fonda getrouwd?,nl
132,Cât de des s-a măritat Jane Fonda?,ro
133,Give me all Australian nonprofit organizations.,en
133,Gib mir alle gemeinnützigen Organisationen in Australien.,de
133,Dame todas las organizaciones benéficas de Australia.,es
133,Dammi tutte le organizzazioni australiane non a scopo di lucro.,it
133,Donnes-moi toutes les associations australiennes à but non lucratif.,fr
133,Noem alle Australische organisaties zonder winstoogmerk.,nl
133,Dă-mi toate organizațiile non-profit din Australia.,ro
134,In which military conflicts did Lawrence of Arabia participate?,en
134,An welchen militärischen Auseinandersetzungen war Lawrence von Arabien beteiligt?,de
134,¿En qué conflictos militares participó Lawrence de Arabia?,es
134,A quali conflitti militari ha partecipato Lawrence d'Arabia?,it
134,Dans quels conflits militaires a participé Lawrence d'Arabie?,fr
134,Bij welke militaire conflicten was Lawrence of Arabia betrokken?,nl
134,În care conflicte militare a participat Lawrence al Arabiei?,ro
135,Who developed Minecraft?,en
135,Wer hat Minecraft entwickelt?,de
135,¿Quién desarrolló Minecraft?,es
135,Chi ha sviluppato Minecraft?,it
135,Qui a dévelopé Minecraft?,fr
135,Wie ontwikkelde Minecraft?,nl
135,Cine a dezvoltat Minecraft?,ro
136,What is the melting point of copper?,en
136,Wo liegt der Schmelzpunkt von Kupfer?,de
136,¿Cúal es el punto de fusión del cobre?,es
136,Qual è il punto di fusione del rame?,it
136,Quel est le point de fusion du cuivre?,fr
136,Wat is het smeltpunt van koper?,nl
136,Care este punctul de topire al cuprului?,ro
137,Give me all sister cities of Brno.,en
137,Gib mir alle Partnerstädte von Brno.,de
137,Dame las ciudades hermanadas con Brno.,es
137,Dammi tutte le città gemellate con Brno.,it
137,Quels sont les villes jumelles de Brno?,fr
137,Geef alle zustersteden van Brno.,nl
137,Dă-mi toate orașele înfrățite cu Brno.,ro
138,How many inhabitants does Maribor have?,en
138,Wieviele Einwohner hat Maribor?,de
138,¿Cuántos habitantes tiene Maribor?,es
138,Quanti abitanti ha Maribor?,it
138,Combien d'habitants a Maribor?,fr
138,Hoeveel inwoners heeft Maribor?,nl
138,Câți locuitori are Maribor?,ro
139,Give me all companies in Munich.,en
139,Gib mir alle Unternehmen in München.,de
139,Dame todas las empresas de Munich?,es
139,Dammi tutte le aziende di Monaco.,it
139,Donnes moi toutes les entreprises de Munich.,fr
139,Noem alle bedrijven in München.,nl
139,Dă-mi toate companiile din München,ro
14,How tall is Claudia Schiffer?,en
14,Wie groß ist Claudia Schiffer?,de
14,¿Cómo de alta es Claudia Schiffer?,es
14,Quanto è alta Claudia Schiffer?,it
14,Quelle est la taille de Claudia Schiffer?,fr
14,Hoe lang is Claudia Schiffer?,nl
14,Ce înălțime are Claudia Schiffer?,ro
140,List all games by GMT.,en
140,Liste alle Spiele von GMT auf.,de
140,Dame todos los juegos de GMT.,es
140,Elenca tutti i giochi di GMT.,it
140,Donne-moi tous les jeux de GMT.,fr
140,Noem alle spelen van GMT.,nl
140,Enumeră toate jocurile de GMT,ro
141,Who founded Intel?,en
141,Wer hat Intel gegründet?,de
141,¿Quién fundó Intel?,es
141,Chi ha fondato Intel?,it
141,Qui a fondé Intel?,fr
141,Wie is de oprichter van Intel?,nl
141,Cine a fondat Intel?,ro
142,Who is the husband of Amanda Palmer?,en
142,Wer ist der Mann von Amanda Palmer?,de
142,¿Quién es el marido de Amanda Palmer?,es
142,Chi è il marito di Amanda Palmer?,it
142,Qui est l'épou d'Amanda Palmer?,fr
142,Wie is de echtgenoot van Amanda Palmer?,nl
142,Cine este soțul Amandei Palmer?,ro
143,Give me all breeds of the German Shepherd dog.,en
143,Gib mir alle Schäferhundrassen.,de
143,Dame todas las razas de pastor alemán.,es
143,Dammi tutte le razze del pastore tedesco.,it
143,Donnes-moi toutes les races de bergers allemands.,fr
143,Noem alle soorten Duitse herders.,nl
143,Dă-mi toate rasele câinelui Ciobănesc German.,ro
144,Which cities does the Weser flow through?,en
144,Durch welche Städte fließt die Weser?,de
144,¿Por qué ciudades pasa el río Weser?,es
144,Attraverso quali città scorre il fiume Weser?,it
144,Quels sont les villes traversées par la Weser?,fr
144,Door welke steden loopt de Weser?,nl
144,Ce orașe străbate Weserul?,ro
145,Which countries are connected by the Rhine?,en
145,Welche Länder verbindet der Rhein?,de
145,¿Qué países une el Rhin?,es
145,Quali stati sono collegati dal Reno?,it
145,Quels sont les pays connectés pas le Rhin?,fr
145,Welke landen worden door de Rijn verbonden?,nl
145,Ce țări sunt unite de Rin?,ro
146,Which professional surfers were born in Australia?,en
146,Welche Profisurfer wurden in Australien geboren?,de
146,¿Qué surfistas profesionales nacieron en Australia?,es
146,Quali surfisti professionisti sono nati in Australia?,it
146,Quels surfeurs professionels sont nés en Australie?,fr
146,Welke professionele surfers werden geboren in Australië?,nl
146,Ce surferi profesioniști s-au născut în Australia?,ro
147,What is the average temperature on Hawaii?,en
147,Was ist die Durchschnittstemperatur auf Hawaii?,de
147,¿Cuál es la temperature media en Hawaii?,es
147,Qual è la temperatura media nelle Hawaii?,it
147,Quelle est la température moyenne à Hawaii?,fr
147,Wat is de gemiddelde temperatuur op Hawaii?,nl
147,Care este temperatura medie în Hawaii?,ro
148,In which UK city are the headquarters of the MI6?,en
148,In welcher Stadt im Vereinigten Königreich ist das Hauptquartier des MI6?,de
148,¿En qué ciudad del reino unido se encuentra el cuartel genetal del MI6?,es
148,In quale città del Regno Unito si trova il quartier generale del MI6?,it
148,Dans quelle ville anglaise se trouvent les quartiers genéraux du MI6?,fr
148,In welke Britse stad is het hoofdkwartier van MI6 gevestigd?,nl
148,În care oraș din Regatul Unit se află cartierul general al MI6?,ro
149,Which other weapons did the designer of the Uzi develop?,en
149,Welche anderen Waffen hat der Erfinder der Uzi entwickelt?,de
149,¿Qué otras armas desarrolló el inventor del Uzi?,es
149,Quali altre armi sono state progettate dall'inventore dell'Uzi?,it
149,Quels autres armes ont été developées par l'inventeur de l'Uzi?,fr
149,Welke andere wapens heeft de uitvinder van de Uzi ontwikkeld?,nl
149,Ce alte arme a realizat proiectantul Uzi?,ro
15,Who created Goofy?,en
15,Wer hat Goofy erfunden?,de
15,¿Quién es el creador de Goofy?,es
15,Chi è il creatore di Pippo?,it
15,Qui est le créateur de Goofy?,fr
15,Wie bedacht Goofy?,nl
15,Cine l-a creat pe Goofy?,ro
150,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,en
150,War die Kubakrise vor der Schweinebuchtinvasion?,de
150,¿Fué la crisis de cuba antes de la invasión de bahía de cochinos?,es
150,La crisi dei missili di Cuba avvenne prima dello sbarco nella Baia dei Porci?,it
150,La crise des missiles de Cuba a-t-elle eu lieu avant the débarquement de la baie des Cochons?,fr
150,Was de Cubacrisis eerder dan de invasie in de Varkensbaai?,nl
150,A avut loc mai devreme Criza rachetelor din Cuba decât Invazia din Golful Porcilor?,ro
151,Give me all islands that belong to Japan.,en
151,"Gib mir alle Inseln, die zu Japan gehören.",de
151,Dame todas la islas que pertenezcan a Japón.,es
151,Dammi tutte le isole che appartengono al Giappone.,it
151,Donnes-moi toutes les îles qui appartiennent aux Japon.,fr
151,Geef alle eilanden die behoren tot Japan.,nl
151,Dă-mi toate insulele care aparțin Japoniei.,ro
152,Who invented the zipper?,en
152,Wer hat den Reisverschluss erfunden?,de
152,¿Quién inventó la cremallera?,es
152,Chi ha inventato la cerniera lampo?,it
152,Qui a inventé la fermeture éclair?,fr
152,Wie heeft de ritssluiting uitgevonden?,nl
152,Cine a inventat fermoarul?,ro
153,What is the ruling party in Lisbon?,en
153,Welche Partei regiert in Lissabon?,de
153,¿Qué partido gobierna en Lisboa?,es
153,Qual è il partito che governa Lisbona?,it
153,Quel est le parti au pouvoir à Lisbonne?,fr
153,Welke partij is aan de macht in Lissabon?,nl
153,Care este partidul la putere în Lisabona?,ro
154,What are the nicknames of San Francisco?,en
154,Was sind die Spitznamen von San Francisco?,de
154,¿Cuál es el apodo de San Francisco?,es
154,Quali sono i soprannomi di San Francisco?,it
154,Quels sont les surnoms de San Francisco?,fr
154,Wat zijn bijnamen van San Francisco?,nl
154,Care sunt poreclele pentru San Francisco?,ro
155,Which Greek goddesses dwelt on Mount Olympus?,en
155,Welche griechischen Göttinnen bewohnten den Olymp?,de
155,¿Qué diosas griegas habitan el Olimpo?,es
155,Quale dea greca risiedeva sul monte Olimpo?,it
155,Quelles déesses grecques habitent sur l'Olympe?,fr
155,Welke Griekse godinnen woonden op de Olympus?,nl
155, Care zeiță greacă a locuit pe Muntele Olimp?,ro
156,When were the Hells Angels founded?,en
156,Wann wurden die Hells Angels gegründet?,de
156,¿Cúando se fundaron los Hells Angels?,es
156,Quando si sono formati gli Hells Angels?,it
156,Quand ont-été fondé les Hells Angels?,fr
156,Wanneer zijn de Hells Angels opgericht?,nl
156,Când a fost înființată Hell Angels?,ro
157,Give me all Apollo 14 astronauts.,en
157,Gib mir alle Apollo-14-Astronauten.,de
157,Dame todos los astronautas de Apolo 14?,es
157,Dammi gli astronauti dell'Apollo 14.,it
157,Donnes-moi tous les astronautes d'Apollo 14.,fr
157,Geef de astronauten van Apollo 14.,nl
157,Dă-mi toți astronauții Apollo 14.,ro
158,What is the time zone of Salt Lake City?,en
158,In welcher Zeitzone liegt Salt Lake City?,de
158,¿En qué zona horaria se encuentra Salt Lake City?,es
158,In quale fuso orario si trova Salt Lake City?,it
158,Quel est le fuseau horaire de Salt Lake City?,fr
158,In welke tijdzone ligt Salt Lake City?,nl
158,Care este fusul orar din Salt Lake City?,ro
159,Which U.S. states are in the same time zone as Utah?,en
159,Welche US-Bundesstaaten liegen in derselben Zeitzone wie Utah?,de
159,¿Qué estados americanos se encuentran en la misma zona que Utah?,es
159,Quali stati degli Stati Uniti d'America si trovano nello stesso fuso orario dello Utah?,it
159,Quels états américains sont dans le même fuseau horaire que l'Utah?,fr
159,Welke staten van de Verenigde Staten liggen in dezelfde tijdzone als Utah?,nl
159,Care state americane sunt pe același fus orar ca Utah?,ro
16,Give me the capitals of all countries in Africa.,en
16,Gib mir die Haupstädte von allen Ländern in Afrika.,de
16,Dame las capitales de todos los países africanos.,es
16,Dammi le capitali di tutti gli stati dell'Africa.,it
16,Donnes-moi la capitale de chaque pays d'Afrique.,fr
16,Noem de hoofdsteden van alle landen in Afrika.,nl
16,Dă-mi capitalele tuturor țărilor din Africa.,ro
160,Give me a list of all lakes in Denmark.,en
160,Gib mir eine Liste aller Seen in Dänemark.,de
160,Dame una lista de todos los lagos en Dinamarca.,es
160,Dammi una lista di tutti i laghi della Danimarca.,it
160,Donnes-moi tous les lacs du Danemark.,fr
160,Noem alle meren in Denemarken.,nl
160,Dă-mi o listă a tuturor lacurilor din Danemarca.,ro
161,How many missions does the Soyuz programme have?,en
161,Wieviele Missionen umfasst das Soyuz-Programm?,de
161,¿Cuántas misiones tiene el programa Soyuz?,es
161,Quante missioni ha il programma Sojuz?,it
161,Donne-moi le nombre de missions Soyouz.,fr
161,Hoeveel missies zijn er in het Soyuz programma?,nl
161,Câte misiuni are programul Soyuz?,ro
162,Did Socrates influence Aristotle?,en
162,Hat Sokrates Aristoteles beeinflusst?,de
162,¿Tuvo Sócrates influencia sobre Aristóteles?,es
162,Socrate ha influenzato Aristotele?,it
162,Socrate a-t-il influencé Aristote?,fr
162,Beïnvloedde Socrates Aristoteles?,nl
162,L-a influențat Socrate pe Aristotel?,ro
163,Give me all Danish movies.,en
163,Gib mir alle dänischen Filme.,de
163,Dame todas las películas danesas.,es
163,Dammi tutti i film danesi.,it
163,Donnes-moi tous les films danois.,fr
163,Noem alle Deense films.,nl
163,Dă-mi toate filmele daneze.,ro
164,Give me all launch pads operated by NASA.,en
164,Gib mir alle von der NASA betriebenen Startrampen.,de
164,Dame todas las plataformas de lanzamiento operadas por la NASA.,es
164,Dammi tutte le rampe di lancio gestite dalla NASA.,it
164,Donnes-moi toutes les rampes de lancements des Etats-unis.,fr
164,Noem alle lanceerplatformen van de NASA.,nl
164,Dă-mi toate rampele de lansare operate de către NASA.,ro
165,Which instruments does Cat Stevens play?,en
165,Welche Instrumente spielt Cat Stevens?,de
165,¿Qué instrumentos tocaba Cat Stevens?,es
165,Quali strumenti suona Cat Stevens?,it
165,Quels instruments joue Cat Stevens?,fr
165,Welke instrumenten speeld Cat Stevens?,nl
165,La ce instrumente cântă Cat Stevens?,ro
166,Which ships were called after Benjamin Franklin?,en
166,Welche Schiffe wurden nach Benjamin Franklin benannt?,de
166,¿Qué barcos fueron bautizados en honor a Benjamin Franklin?,es
166,Quali navi sono state battezzate in onore di Benjamin Franklin?,it
166,Quels bâteaux portent le nom de Benjamin Franklin?,fr
166,Welke schepen zijn genoemd naar Benjamin Franklin?,nl
166,Ce nave au fost numite după Benjamin Franklin?,ro
167,Who are the parents of the wife of Juan Carlos I?,en
167,Wer sind die Eltern der Frau von Juan Carlos I?,de
167,¿Quién son los padres de la esposa de Juan Carlos I?,es
167,Chi sono i genitori della moglie di Juan Carlos I?,it
167,Qui sont les parents de l'épouse de Juan Carlos Ier?,fr
167,Hoe heten de ouders van de vrouw van Juan Carlos I?,nl
167,Cine sunt părinții soției lui Juan Carlos I?,ro
168,How many employees does Google have?,en
168,Wieviele Angestellte hat Google?,de
168,¿Cuántos empleados tiene Google?,es
168,Quanti dipendenti ha Google?,it
168,Combien d'employés a Google?,fr
