input_lang,output_lang
Show me all museums in London.,Показать меня все музеи в Лондон. 
Who is the tallest player of the Atlanta Falcons?,Кто является  Самый высокий игрок из  Atlanta Соколы? 
What are the top-10 action role-playing video games according to IGN?,Какие находятся  Топ 10 действие ролевая видео игры в соответствии в IGN? 
Give me all writers that won the Nobel Prize in literature.,Дайте меня все писатели что выиграл  Нобель приз в литература. 
Show me all basketball players that are higher than 2 meters.,Показать меня все баскетбол игроки что находятся выше чем 2 метров. 
When was the Statue of Liberty built?,когда был  Статуя из свобода построен? 
Which states border Illinois?,Который состояния граница Иллинойс? 
Who developed Minecraft?,Кто развитая Шахтерское ремесло? 
Where did Hillel Slovak die?,где сделал Гилель словацкий ? 
What movies does Jesse Eisenberg play in?,Какие кино делает Джесси Eisenberg играть в? 
Give all swimmers that were born in Moscow.,Дайте все пловцы что мы Родился в Москва. 
Give me all cosmonauts.,Дайте меня все космонавты. 
Give me all Swiss non-profit organizations.,Дайте меня все швейцарцы Некоммерческий организаций. 
Which presidents were born in 1945?,Который президенты мы Родился в 1945? 
What kind of music did Lou Reed play?,Какие своего рода из Музыка сделал Лу камыш играть? 
Where do the Red Sox play?,где делать  красный носки играть? 
Show a list of soccer clubs that play in the Bundesliga.,Показать  список из футбольный клубы что играть в  Бундеслига. 
Which volcanos in Japan erupted since 2000?,Который вулканы в Япония извергался поскольку 2000? 
Which bridges cross the Seine?,Который мосты пересекать  Его? 
What is the official color of the University of Oxford?,Какие является  официальный цвет из  Университет из Оксфорд? 
How many films did Hal Roach produce?,Как многие фильмы сделал случай плотва производить? 
Give me all Danish movies.,Дайте меня все датский кино. 
What is the most frequent cause of death?,Какие является  большинство частый причина из смерть? 
Give me all companies in Munich.,Дайте меня все компании в Мюнхен. 
Give me the capitals of all countries that the Himalayas run through.,Дайте меня  столицы из все страны что  Гималаи бег через. 
How many movies did Park Chan-wook direct?,Как многие кино сделал Парк Чан-Вук непосредственный? 
Which rivers flow into a German lake?,Который реки течь в  Немецкий озеро? 
How many airlines are there?,Как многие авиакомпании находятся там? 
Give me all islands that belong to Japan.,Дайте меня все острова что принадлежать в Япония. 
How many inhabitants does Maribor have?,Как многие жителей делает Марибор иметь? 
Give me all Apollo 14 astronauts.,Дайте меня все Аполлон 14 астронавты. 
Which companies have more than 1 million employees?,Который компании иметь Больше чем 1 миллиона сотрудники? 
In which films directed by Garry Marshall was Julia Roberts starring?,В который фильмы направленный от Garry Маршалл был Юлия Робертс в главной роли? 
Give me all soccer clubs in the Premier League.,Дайте меня все футбольный клубы в  премьер Лига. 
What is the highest place of the Urals?,Какие является  наибольший место из  Урал? 
Who is the governor of Wyoming?,Кто является  губернатор из Вайоминг? 
Where did the architect of the Eiffel Tower study?,где сделал  архитектор из  Eiffel башня изучение? 
Give me all world heritage sites designated within the past two years.,Дайте меня все Мир наследие места назначенный в  мимо два года. 
Give me all actors who were born in Paris after 1950.,Дайте меня все актеры кто мы Родился в Париж после 1950. 
Which movies star both Liz Taylor and Richard Burton?,Который кино звезда и то и другое Лиз Тейлор а также Ричард Burton? 
Give me all Australian nonprofit organizations.,Дайте меня все австралиец некоммерческий организаций. 
Which pope succeeded John Paul II?,Который папа удалось Джон Павел II? 
Give me all ESA astronauts.,Дайте меня все ESA астронавты. 
Who was president of Pakistan in 1978?,Кто был президент из Пакистан в 1978? 
Who is the owner of Rolls-Royce?,Кто является  владелец из Rolls-Royce? 
How many museums does Paris have?,Как многие музеи делает Париж иметь? 
Where was JFK assassinated?,где был JFK убит? 
Give me all federal chancellors of Germany.,Дайте меня все федеральный канцлеры из Германия. 
Show me everyone who was born on Halloween.,Показать меня все кто был Родился на Хэллоуин. 
To which countries does the Himalayan mountain system extend?,к который страны делает  гималайский гора система продлить? 
Which actors were born in Germany?,Который актеры мы Родился в Германия? 
How much carbs does peanut butter have?,Как много карбюраторы делает арахис масло иметь? 
Who produced the most films?,Кто произведенный  большинство фильмы? 
How many employees does Google have?,Как многие сотрудников делает Google иметь? 
Give me all actors who were born in Berlin.,Дайте меня все актеры кто мы Родился в Берлин. 
Who created Goofy?,Кто созданный Гуфи? 
Which music albums contain the song Last Christmas?,Который Музыка альбомы содержать  песня Последний Рождество? 
When was Alberta admitted as province?,когда был альберта признал в виде провинция? 
How many missions does the Soyuz programme have?,Как многие миссии делает  Союз программа иметь? 
Give me all the TV shows with Neil Patrick Harris.,Дайте меня все  ТВ шоу с Нил Патрик Харрис. 
When were the Hells Angels founded?,когда мы  Hells Ангелы основана? 
What is the net income of Apple?,Какие является  сеть доход из Яблоко? 
Give me all Swedish holidays.,Дайте меня все шведский каникулы. 
In which city was the former Dutch queen Juliana buried?,В который город был  бывший Голландский Королева Юлиана похоронен? 
List all the musicals with music by Leonard Bernstein.,Список все  мюзиклы с Музыка от Леонард Бернштейн. 
Give me all companies in the advertising industry.,Дайте меня все компании в  реклама промышленность. 
What is the largest metropolitan area in Washington state?,Какие является  крупнейший столичный площадь в Вашингтон государство? 
Who killed John Lennon?,Кто убитый Джон Леннон? 
Which writers studied in Istanbul?,Который писатели изучал в Стамбул? 
Give me all Australian metalcore bands.,Дайте меня все австралиец металкор группы. 
Which countries adopted the Euro?,Который страны принят  Евро? 
Give me all types of eating disorders.,Дайте меня все типы из принимать пищу расстройства. 
Was Marc Chagall a jew?,Был Марк Шагал  Еврей? 
What was Brazil's lowest rank in the FIFA World Ranking?,Какие был Бразилии низший ранг в  ФИФА Мир Рейтинг? 
How many films did Leonardo DiCaprio star in?,Как многие фильмы сделал Leonardo ДиКаприо звезда в? 
Was Margaret Thatcher a chemist?,Был Маргарет Thatcher  химик? 
Which U.S. states are in the same time zone as Utah?,Который У.С. состояния находятся в  одна и та же время зона в виде Юта? 
Give me all books written by Danielle Steel.,Дайте меня все книги написано от Danielle Стали. 
Which country has the most official languages?,Который страна имеет  большинство официальный языки? 
What is the total amount of men and women serving in the FDNY?,Какие является  Всего количество из люди а также женщины порция в  FDNY? 
Which actor played Chewbacca?,Который актер играл Чубакка? 
Give me all libraries established earlier than 1400.,Дайте меня все библиотеки установленный ранее чем 1400. 
Which programming languages were influenced by Perl?,Который программирование языки мы влияние от Perl? 
In which U.S. state is Mount McKinley located?,В который У.С. государство является гора МакКинли располагается? 
What airlines are part of the SkyTeam alliance?,Какие авиакомпании находятся часть из  SkyTeam союз? 
Which ships were called after Benjamin Franklin?,Который судов мы называется после Вениамин Франклин? 
Give me all Methodist politicians.,Дайте меня все методист политики. 
What other books have been written by the author of The Fault in Our Stars?,Какие Другие книги иметь было написано от  автор из  придираться в наш Звезды? 
What is the highest mountain?,Какие является  наибольший горы? 
Which poet wrote the most books?,Который поэт писал  большинство книги? 
Which programming languages influenced Javascript?,Который программирование языки влияние Javascript? 
Which musician wrote the most books?,Который музыкант писал  большинство книги? 
Which films starring Clint Eastwood did he direct himself?,Который фильмы в главной роли Clint Иствуд сделал он непосредственный сам? 
Which software has been developed by organizations founded in California?,Который программного обеспечения имеет было развитая от организации основанный в California? 
Which instruments does Cat Stevens play?,Который инструменты делает Кот Стивенс играть? 
How many airlines are members of the Star Alliance?,Как многие авиакомпании находятся члены из  звезда Альянс? 
Give me all actors called Baldwin.,Дайте меня все актеры называется Болдуин. 
Who wrote The Hunger Games?,Кто писал  голодание Игры? 
For which label did Elvis record his first album?,Для который метка сделал Элвис запись его первый альбом? 
Is Christian Bale starring in Batman Begins?,Является Кристиан тюк в главной роли в Бэтмен Начинается? 
Where is the residence of the prime minister of Spain?,где является  резиденция из  простое число министр из Испания? 
Which actor was casted in the most movies?,Который актер был литая в  большинство кино? 
Which countries have more than two official languages?,Который страны иметь Больше чем два официальный языки? 
Which countries have more than ten caves?,Который страны иметь Больше чем 10 пещеры? 
Show me all songs from Bruce Springsteen released between 1980 and 1990.,Показать меня все песни из Брюс Спрингстин выпущенный между 1980 а также 1990. 
Which television shows were created by John Cleese?,Который телевидение шоу мы созданный от Джон Клиз? 
When did Latvia join the EU?,когда сделал Латвия присоединиться  США? 
Which soccer players were born on Malta?,Который футбольный игроки мы Родился на Мальта? 
How many politicians graduated from Columbia University?,Как многие политики закончил из Колумбия Университет? 
Give me the birthdays of all actors of the television show Charmed.,Дайте меня  дни рождения из все актеры из  телевидение показать Зачарованные. 
Which telecommunications organizations are located in Belgium?,Который связь организации находятся располагается в Бельгия? 
Give me a list of all lakes in Denmark.,Дайте меня  список из все озера в Дания. 
How many children does Eddie Murphy have?,Как многие дети делает Эдди Мерфи иметь? 
Show me all English Gothic buildings in Kent.,Показать меня все английский готика здания в Кент. 
Who is the manager of Real Madrid?,Кто является  менеджер из реальный Мадрид? 
In which countries can you pay using the West African CFA franc?,В который страны Можно вы платить с помощью  запад африканец CFA франк? 
Which holidays are celebrated around the world?,Который каникулы находятся знаменитый вокруг  Мир? 
What is the longest river?,Какие является  самый длинный река? 
Which organizations were founded in 1930?,Который организации мы основанный в 1930? 
What is the birth name of Angela Merkel?,Какие является  рождение имя из Angela Меркель? 
Who has Tom Cruise been married to?,Кто имеет Том Круиз было в браке к? 
Which weapons did Heckler & Koch develop?,Который оружие сделал трепальщик льна & Koch развиваться? 
What is the smallest city by area in Germany?,Какие является  наименьшее город от площадь в Германия? 
What is the ruling party in Lisbon?,Какие является  господствующий вечеринка в Лиссабон? 
How heavy is Jupiter's lightest moon?,Как тяжелый является Юпитер самый светлый Луна? 
How many employees does IBM have?,Как многие сотрудников делает IBM иметь? 
List all episodes of the first season of the HBO television series The Sopranos!,Список все эпизоды из  первый время года из  ГБО телевидение серии  Сопрано! 
What does ICRO stand for?,Какие делает ICRO стоять для? 
Does the new Battlestar Galactica series have more episodes than the old one?,Есть ли  новый Battlestar Galactica серии иметь Больше эпизоды чем  старый один? 
Give me all films produced by Hal Roach.,Дайте меня все фильмы произведенный от случай Roach. 
Who played Agent Smith in Matrix?,Кто играл агент кузнец в Матрица? 
Which Greek parties are pro-European?,Который греческий стороны находятся проевропейской? 
Give me a list of all bandleaders that play trumpet.,Дайте меня  список из все бэнд-лидер что играть труба. 
What is the second highest mountain on Earth?,Какие является  второй наибольший гора на Земля? 
Is Egypts largest city also its capital?,Является Египта крупнейший город также его столица? 
Which rockets were launched from Baikonur?,Который ракеты мы запущенный из Байконуре? 
How many programming languages are there?,Как многие программирование языки находятся там? 
Which Chess players died in the same place they were born in?,Который шахматы игроки умер в  одна и та же место Oни мы Родился в? 
Who is the owner of Facebook?,Кто является  владелец из Facebook? 
Give me all movies with Tom Cruise.,Дайте меня все кино с Том Круиз. 
In which U.S. state is Fort Knox located?,В который У.С. государство является Форт Нокс располагается? 
Give me all cities in New Jersey with more than 100000 inhabitants.,Дайте меня все города в новый Джерси с Больше чем 100000 жители. 
Which mountains are higher than the Nanga Parbat?,Который горы находятся выше чем  Нанга Парбат? 
Give me all B-sides of the Ramones.,Дайте меня все B-сайда из  Ramones. 
What are the specialities of the UNC Health Care?,Какие находятся  специальности из  UNC Здоровье Забота? 
When was Olof Palme shot?,когда был Олоф Palme выстрел? 
List the seven kings of Rome.,Список  семь короли из Рим. 
Give me all people that were born in Vienna and died in Berlin.,Дайте меня все люди что мы Родился в Вена а также умер в Берлин. 
Is Darth Vader Luke’s father?,Является Darth Вейдер Люк отец? 
Show me all the breweries in Australia.,Показать меня все  пивоварни в Австралия. 
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,Дайте меня все фильмы произведенный от Стивен Спилберг с  бюджет из в наименее $ 80 млн. 
Give me all soccer clubs in Spain.,Дайте меня все футбольный клубы в Испания. 
Who produced films starring Natalie Portman?,Кто произведенный фильмы в главной роли Натали Портман? 
Give me all breeds of the German Shepherd dog.,Дайте меня все породы из  Немецкий Пасти собака. 
Who is the heaviest player of the Chicago Bulls?,Кто является  самый тяжелый игрок из  Чикаго Быков? 
Which languages are spoken in Estonia?,Который языки находятся разговорный в Эстония? 
What is the largest country in the world?,Какие является  крупнейший страна в  Мир? 
What is the largest city in america?,Какие является  крупнейший город в Америка? 
Who discovered Ceres?,Кто обнаруженный Ceres? 
Who is the king of the Netherlands?,Кто является  король из  Нидерланды? 
Is Cola a beverage?,Является кола  напитки? 
What is the alma mater of the chancellor of Germany Angela Merkel?,Какие является  альма мать из  канцлер из Германия Angela Меркель? 
Who wrote the book Les Piliers de la terre?,Кто писал  книга  столбы из  Терра? 
Which airports does Yeti Airlines serve?,Который аэропорты делает Йети Авиакомпании обслуживать? 
Where is the birthplace of Goethe?,где является  место рождения из Гете? 
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,Был  кубинский ракета Кризис ранее чем  залив из Свиньи Вторжение? 
Which ingredients do I need for carrot cake?,Который ингредиенты делать я необходимость для морковь кекс? 
Who created Wikipedia?,Кто созданный Википедия? 
What is the highest mountain in Saxony Germany?,Какие является  наибольший гора в Саксония Германия? 
Who is the current federal minister of finance in Germany?,Кто является  текущий федеральный министр из финансы в Германия? 
In which country is Mecca located?,В который страна является Мекка располагается? 
Who played Gus Fring in Breaking Bad?,Кто играл Гас Fring в Ломать Плохо? 
In which country does the Nile start?,В который страна делает  Нил Начало? 
In which state Penn State University is located?,В который государство Penn состояние Университет является располагается? 
What is the biggest stadium in Spain?,Какие является  самый большой стадион в Испания? 
Who is the coach of Ankara's ice hockey team?,Кто является  тренер из Анкары лед хоккей команда? 
How large is the area of UK?,Как большой является  площадь из ВЕЛИКОБРИТАНИЯ? 
Who created Batman?,Кто созданный Бэтмен? 
Was Sigmund Freud married?,Был Зигмунд Фрейд в браке? 
Who are the developers of DBpedia?,Кто находятся  Разработчики из DBpedia? 
Give me all movies directed by Francis Ford Coppola.,Дайте меня все кино направленный от Фрэнсис брод Коппола. 
Are tree frogs a type of amphibian?,Находятся дерево лягушки  тип из амфибия? 
What is the location of the Houses of Parliament?,Какие является  место нахождения из  дома из Парламент? 
how much is the elevation of Düsseldorf Airport ?,как много является  высота из Дюссельдорф аэропорт ? 
How much is the population of mexico city ?,Как много является  Население из Мексика город ? 
when was the founding date of french fifth republic?,когда был  учредительный Дата из Французский пятый республика? 
Who was the first King of England?,Кто был  первый король из Англия? 
Who is the editor of Forbes?,Кто является  редактор из Forbes? 
Which awards did Douglas Hofstadter win?,Который награды сделал Дуглас Хофштадтер выиграть? 
Is horse racing a sport?,Является лошадь гоночный  спорт? 
Which river does the Brooklyn Bridge cross?,Который река делает  Brooklyn Мост пересекать? 
How many people live in Poland?,Как многие люди жить в Польша? 
When was the last episode of the TV series Friends aired?,когда был  последний эпизод из  ТВ серии друзья эфир? 
Is the wife of president Obama called Michelle?,Является  жена из президент Обама называется Мишель? 
Who is 8th president of US?,Кто является восьмых президент из НАС? 
how much is the total population of  european union?,как много является  Всего Население из Европейская союз? 
Give me all launch pads operated by NASA.,Дайте меня все запуск подушечки управляемый от NASA. 
What is the birth name of Adele?,Какие является  рождение имя из Адель? 
What is the population of Cairo?,Какие является  Население из Каир? 
Is Frank Herbert still alive?,Является Фрэнк Герберт все еще в живых? 
What is the last work of Dan Brown?,Какие является  последний Работа из и Браун? 
Where is Sungkyunkwan University?,где является Sungkyunkwan Университет? 
Who is the author of the interpretation of dreams?,Кто является  автор из  интерпретация из мечты? 
When was the death  of  Shakespeare?,когда был  смерть из Шекспир? 
Who developed Slack?,Кто развитая Отними? 
Where is the origin of Carolina reaper?,где является  происхождения из Каролина жнец? 
In which year was Rachel Stevens born?,В который год был Рейчел Стивенс Родился? 
How often did Jane Fonda marry?,Как довольно часто сделал Джейн фонд выйти замуж? 
Was the wife of president Lincoln called Mary?,Был  жена из президент Линкольн называется Мэри? 
Which cities does the Weser flow through?,Который города делает  Weser течь через? 
In which programming language is GIMP written?,В который программирование язык является GIMP написано? 
Which university did Angela Merkel attend?,Который Университет сделал Angela Меркель посещать? 
How many Aldi stores are there?,Как многие который магазины находятся там? 
What is the longest river in the world?,Какие является  самый длинный река в  Мир? 
When was John Adams born?,когда был Джон Адамс Родился? 
Which companies produce hovercrafts?,Который компании производить на воздушной подушке? 
Who was the wife of U.S. president Lincoln?,Кто был  жена из У.С. президент Линкольн? 
Which species does an elephant belong?,Который вид делает  слон принадлежат? 
How many people live in the capital of Australia?,Как многие люди жить в  столица из Австралия? 
In which ancient empire could you pay with cocoa beans?,В который древний империя мог вы платить с какао фасоль? 
How many theories did Albert Einstein come up with?,Как многие теории сделал Альберт Эйнштейн приехать вверх с? 
Who composed the soundtrack for Cameron's Titanic?,Кто состоящий  звуковая дорожка для Камерон Титаник? 
Give me the runtime of Toy Story.,Дайте меня  время выполнения из Игрушка История. 
With how many countries Iran has borders?,С как многие страны Иран имеет границы? 
Which electronics companies were founded in Beijing?,Который электроника компании мы основанный в Пекин? 
Who was the successor of John F. Kennedy?,Кто был  преемник из Джон F. Кеннеди? 
Who is the mayor of Paris?,Кто является  мэр из Париж? 
Did Arnold Schwarzenegger attend a university?,Сделал Арнольд Шварценеггер посещать  Университет? 
Does the Isar flow into a lake?,Есть ли  Изар течь в  озеро? 
Which Indian company has the most employees?,Который индийский Компания имеет  большинство сотрудники? 
Who was John F. Kennedy's vice president?,Кто был Джон F. Кеннеди вице президент? 
Which country does the creator of Miffy come from?,Который страна делает  создатель из Miffy приехать из? 
In what city is the Heineken brewery?,В какие город является  Heineken пивоварни? 
Is Barack Obama a democrat?,Является Барак Обама  демократ? 
List the children of Margaret Thatcher.,Список  дети из Маргарет Тетчер. 
From which region is the Melon de Bourgogne?,Из который область является  Дыня из Bourgogne? 
how big is the total area of North Rhine- Westphalia?,как большой является  Всего площадь из север Рейн Вестфалия? 
Which city has the most inhabitants?,Который город имеет  большинство жители? 
What is Donald Trump's main business?,Какие является Дональд Трампа главный бизнес? 
When will start the final match of the football world cup 2018?,когда будем Начало  окончательный совпадение из  футбол Мир кружка 2018? 
Which films did Stanley Kubrick direct?,Который фильмы сделал Стэнли Кубрик непосредственный? 
how much is the population  Iraq?,как много является  Население Ирак? 
How many inhabitants does the largest city in Canada have?,Как многие жителей делает  крупнейший город в Канада иметь? 
Who is the mayor of the capital of French Polynesia?,Кто является  мэр из  столица из Французский Полинезия? 
Give me all actors starring in movies directed by William Shatner.,Дайте меня все актеры в главной роли в кино направленный от Уильям Шатнер. 
How tall is Claudia Schiffer?,Как высокий является Клаудиа Шиффер? 
how much is the population densty rank of germany?,как много является  Население плотность ранг из Германия? 
What is the highest mountain in Italy?,Какие является  наибольший гора в Италия? 
List all games by GMT.,Список все игры от ВРЕМЯ ПО ГРИНВИЧУ. 
What is the official language of Suriname?,Какие является  официальный язык из Суринам? 
In which city did Nikos Kazantzakis die?,В который город сделал Nikos Казантзакис ? 
What is in a chocolate chip cookie?,Какие является в  шоколад чип печенье? 
In which country is the Limerick Lake?,В который страна является  Лимерик Озеро? 
Give me all video games published by Mean Hamster Software.,Дайте меня все видео игры опубликованный от Имею в виду хомяк Программного обеспечения. 
Give me all members of Prodigy.,Дайте меня все члены из Prodigy. 
In which time zone is Rome?,В который время зона является Рим? 
How high is the lighthouse in Colombo?,Как высокая является  маяк в Коломбо? 
Who are the writers of the Wall album of Pink Floyd?,Кто находятся  писатели из  стена альбом из розовый Флойд? 
Who is the mayor of Rotterdam?,Кто является  мэр из Роттердам? 
What is the largest city in Australia?,Какие является  крупнейший город в Австралия? 
Who was married to president Chirac?,Кто был в браке в президент Ширак? 
What form of government is found in South Africa?,Какие форма из правительство является найденный в юг Африка? 
How high is the Yokohama Marine Tower?,Как высокая является  Yokohama морской Tower? 
Who is the tallest basketball player?,Кто является  Самый высокий баскетбол игрок? 
How many languages are spoken in Turkmenistan?,Как многие языки находятся разговорный в Туркменистан? 
Did Che Guevara have children?,Сделал что Guevara иметь дети? 
Did Kaurismäki ever win the Grand Prix at Cannes?,Сделал Каурисмяки Когда-либо выиграть  большой цена в Канны? 
To which party does the mayor of Paris belong?,к который вечеринка делает  мэр из Париж принадлежат? 
Who is the Formula 1 race driver with the most races?,Кто является  формула 1 раса Водитель с  большинство гонки? 
What country is Sitecore from?,Какие страна является Sitecore из? 
Give me the birth place of Frank Sinatra.,Дайте меня  рождение место из Фрэнк Синатра. 
Is Christian Bale starring in Velvet Goldmine?,Является Кристиан тюк в главной роли в бархатный Золотая шахта? 
Who is the son of Sonny and Cher?,Кто является  сын из Сынок а также Cher? 
How many ethnic groups live in Slovenia?,Как многие этнической группы жить в Словения? 
What is the capital of Cameroon?,Какие является  столица из Камерун? 
Was Natalie Portman born in the United States?,Был Натали Портман Родился в  объединенный Состояния? 
How many pages does War and Peace have?,Как многие страницы делает война а также мир иметь? 
Who is the oldest child of Meryl Streep?,Кто является  самый старший ребенок из Мерил Стрип? 
Which television shows were created by Walt Disney?,Который телевидение шоу мы созданный от Уолт Дисней? 
What does IYCM stand for?,Какие делает Ваши глаза стоять для? 
Which types of grapes grow in Oregon?,Который типы из виноград расти в Орегон? 
Was U.S. president Jackson involved in a war?,Был У.С. президент Джексон участвует в  война? 
When was the Titanic completed?,когда был  титановый завершена? 
Did Tesla win a nobel prize in physics?,Сделал тесла выиграть  нобелевский приз в физика? 
How many states are in Mexico?,Как многие состояния находятся в Мексика? 
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,Который ученый является известен для  Манхеттен проект а также  Нобель мир Приз? 
How much did the Lego Movie cost?,Как много сделал  Лего Кино Стоимость? 
Who composed the music for Harold and Maude?,Кто состоящий  Музыка для Гарольд а также Мод? 
List all episodes of the first season of the HBO television series The Sopranos.,Список все эпизоды из  первый время года из  ГБО телевидение серии  Сопрано. 
Which city has the least inhabitants?,Который город имеет  наименее жители? 
Where is Syngman Rhee buried?,где является Ли Сын Рхи похоронен? 
Does Neymar play for Real Madrid?,Есть ли Неймар играть для реальный Мадрид? 
Who wrote the book The Pillars of the Earth?,Кто писал  книга  столпы из  Земля? 
Do Prince Harry and Prince William have the same parents?,Делать принц Гарри а также принц Уильям иметь  одна и та же родители? 
Who was the doctoral supervisor of Albert Einstein?,Кто был  докторский руководитель из Альберт Эйнштейн? 
Does Breaking Bad have more episodes than Game of Thrones?,Есть ли Ломать Плохо иметь Больше эпизоды чем Игра из Троны? 
Who was Vincent van Gogh inspired by?,Кто был Винсент от Гоги вдохновенный от? 
Which building after the Burj Khalifa has the most floors?,Который здание после  Burj халиф имеет  большинство полы? 
What was the final result of the War of the Roses?,Какие был  окончательный результат из  война из  Розы? 
How much did Pulp Fiction cost?,Как много сделал пульпа Фантастика Стоимость? 
Is proinsulin a protein?,Является проинсулина  белок? 
Do Urdu and Persian have a common root?,Делать урду а также персидский иметь  общий корень? 
Who is starring in Spanish movies produced by Benicio del Toro?,Кто является в главной роли в испанский кино произведенный от Бенисио из Торо? 
Is Lake Baikal bigger than the Great Bear Lake?,Является Озеро Байкал больше чем  большой медведь Озеро? 
Show me all books in Asimov's Foundation series.,Показать меня все книги в Азимова Фонд серии. 
Where was Bach born?,где был холостяк Родился? 
Which city has the oldest running metro?,Который город имеет  самый старший Бег метро? 
Who designed the Brooklyn Bridge?,Кто предназначенный  Brooklyn Мост? 
How many people live in Eurasia?,Как многие люди жить в Евразия? 
Who is the host of the BBC Wildlife Specials?,Кто является  хозяин из  BBC живая природа Скидки? 
"What is the total population of Melbourne, Florida?","Какие является  Всего Население из Мельбурн, Флорида? "
What country is Mount Everest in?,Какие страна является гора Эверест в? 
To which artistic movement did the painter of The Three Dancers belong?,к который художественный движение сделал  художник из  Три Танцоры принадлежат? 
When did Operation Overlord commence?,когда сделал операция Повелитель начать? 
What is the bridge with the longest span?,Какие является  мост с  самый длинный пролет? 
Is there a video game called Battle Chess?,Является там  видео игра называется Боевой Шахматы? 
Who was buried in the Great Pyramid of Giza?,Кто был похороненный в  большой пирамида из Гиз? 
Does the Ford Motor Company have a manufacturing plant in Malaysia?,Есть ли  брод двигатель Компания иметь  производство растение в Малайзия? 
Did Socrates influence Aristotle?,Сделал Сократ влияние Аристотель? 
How many children did Benjamin Franklin have?,Как многие дети сделал Вениамин Франклин иметь? 
How tall is Michael Jordan?,Как высокий является Майкл Иордания? 
In which UK city are the headquarters of the MI6?,В который Великобритания город находятся  главное управление из  МИ-6 
Who created Family Guy?,Кто созданный семья Гай? 
In which city does the Chile Route 68 end?,В который город делает  Чили маршрут 68 конец? 
Give me the grandchildren of Elvis Presley.,Дайте меня  внучата из Элвис Presley. 
When did the Ming dynasty dissolve?,когда сделал  Ming династия распустить? 
In which military conflicts did Lawrence of Arabia participate?,В который военные конфликты сделал Лоренс из Аравия принимать участие? 
What is the timezone in San Pedro de Atacama?,Какие является  часовой пояс в Сан - Pedro из Atacama? 
Give me all books by William Goldman with more than 300 pages.,Дайте меня все книги от Уильям Goldman с Больше чем 300 страницы. 
What did Bruce Carver die from?,Какие сделал Брюс резчик  из? 
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,Который дочернее предприятие из Lufthansa служит и то и другое Дортмунд а также Берлин Тегель? 
Does Abraham Lincoln's death place have a website?,Есть ли Авраам Линкольн смерть место иметь  Веб-сайт? 
Did Elvis Presley have children?,Сделал Элвис Presley иметь дети? 
Is Michelle Obama the wife of Barack Obama?,Является Мишель Обама  жена из Барак Обама? 
In which city does Sylvester Stallone live?,В который город делает Сильвестр Сталлоне жить? 
Which books by Kerouac were published by Viking Press?,Который книги от Керуак мы опубликованный от викинг Нажмите? 
Who wrote the song Hotel California?,Кто писал  песня Гостиница California? 
What is the capital of Canada?,Какие является  столица из Канада? 
Who is the mayor of Tel Aviv?,Кто является  мэр из телефон Авив? 
What form of government does Russia have?,Какие форма из правительство делает Россия иметь? 
Show me the book that Muhammad Ali wrote.,Показать меня  книга что Мухаммед или написал. 
