input_lang,output_lang
Which U.S. states possess gold minerals?,In quali stati degli Stati Uniti c'è l'oro?
What is the most beautiful painting?,Qual è il dipinto più bello?
Who is the daughter of Ingrid Bergman married to?,Con chi è sposata la figlia di Ingrid Bergman?
Is Egypts largest city also its capital?,La città più grande dell'Egitto è anche la sua capitale?
Which caves have more than 3 entrances?,Quali grotte hanno più di 3 entrate?
Give me all films produced by Hal Roach.,Dammi tutti i film prodotti da Hal Roach.
Which bridges are of the same type as the Manhattan Bridge?,Quali ponti sono dello stesso tipo del ponte di Manhattan?
Was U.S. president Jackson involved in a war?,Il presidente degli Stati Uniti Jackson è stato coinvolto in una guerra?
Which software has been developed by organizations founded in California?,Quali software sono stati sviluppati da aziende fondate in California?
Who has been the 5th president of the United States of America?,Chi è stato il quinto presidente degli Stati Uniti d'America?
Which music albums contain the song Last Christmas?,Quale album musicale contiene la canzone Last Christmas?
Give me all female Russian astronauts.,Dammi tutte le austronaute russe.
Give me all actors starring in Last Action Hero.,Dammi tutti gli attori che hanno recitato in Last Action Hero.
Give me all companies in the advertising industry.,Dammi tutte le aziende pubblicitarie.
Give me all animal species that live in the Teutoburg Forest.,Dammi tutte le specie animali che vivono nella Foresta di Teutoburgo.
Which countries in the European Union adopted the Euro?,Quali stati dell'Unione Europea hanno introdotto l'Euro?
When was Capcom founded?,Quando è stata fondata Capcom?
Give me all soccer clubs in the Premier League.,Dammi tutti i club calcistici nella Premier League.
Who is the owner of Universal Studios?,Chi è il proprietario degli Universal Studios?
What did Bruce Carver die from?,Di cosa è morto Bruce Carver?
How often did Jane Fonda marry?,Quante volte si è sposata Jane Fonda?
Which books by Kerouac were published by Viking Press?,Quali libri di Kerouac furono pubblicati da Viking Press?
Which U.S. state has the highest population density?,Quale stato americano ha la densità di popolazione maggiore?
What is the founding year of the brewery that produces Pilsner Urquell?,In che anno è stato fondato il birrificio che produce la Pilsner Urquell?
Give me all federal chancellors of Germany.,Dammi tutti i cancellieri tedeschi.
In which U.S. state is Mount McKinley located?,In quale stato degli Stati Uniti si trova il Monte McKinley?
When was the Statue of Liberty built?,Quando è stata costruita la Statua della Libertà?
Give me all people that were born in Vienna and died in Berlin.,Dammi tutte le persone che sono nate a Vienna e morte a Berlino.
How tall is Michael Jordan?,Quanto è alto Michael Jordan?
What is the total amount of men and women serving in the FDNY?,Qual è il totale di uomini e donne che prestano servizio nel dipartimento dei vigili del fuoco di New York?
Give me all breeds of the German Shepherd dog.,Dammi tutte le razze del pastore tedesco.
What is the official language of Suriname?,Qual è la lingua ufficiale del Suriname?
Who composed the music for Harold and Maude?,Chi ha composto la musica per Harold e Maude?
In which city was the former Dutch queen Juliana buried?,In quale città fu sepolta la precedente regina dei Paesi Bassi Juliana?
Who wrote the book The Pillars of the Earth?,Chi ha scritto il libro I pilastri della Terra?
What are the nicknames of San Francisco?,Quali sono i soprannomi di San Francisco?
Which companies work in the aerospace industry as well as in medicine?,Quali aziende si occupano sia nell'industria aerospaziale che in ambito medico?
Are tree frogs a type of amphibian?,Le rane verdi sono un tipo di anfibio?
What were the main discoveries of the Mars rover Curiosity?,Quali sono state le scoperte piu' importanti del Mars rover Curiosity?
Where is the residence of the prime minister of Spain?,Dove vive il primo ministro della Spagna?
Which countries have more than ten caves?,Quali nazioni hanno più di dieci grotte?
Who created Goofy?,Chi è il creatore di Pippo?
Give me all sister cities of Brno.,Dammi tutte le città gemellate con Brno.
Which other weapons did the designer of the Uzi develop?,Quali altre armi sono state progettate dall'inventore dell'Uzi?
Which countries adopted the Euro?,Quali stati hanno introdotto l'Euro?
Which country does the creator of Miffy come from?,Da quale stato proviene il creatore di Miffy?
Give me all female given names.,Dammi tutti i nomi propri femminili.
Was Margaret Thatcher a chemist?,Margaret Thatcher era un chimico?
Which German cities have more than 250000 inhabitants?,Quali città tedesche hanno più di 250000 abitanti?
Was Marc Chagall a jew?,Marc Chagall era ebreo?
How many Aldi stores are there?,Quanti negozi Aldi ci sono?
What is the capital of Canada?,Qual è la capitale del Canada?
What is the average temperature on Hawaii?,Qual è la temperatura media nelle Hawaii?
In which U.S. state is Fort Knox located?,In quale stato americano si trova Fort Knox?
Which museum exhibits The Scream by Munch?,In quale museo è esposto l'Urlo di Munch?
For which label did Elvis record his first album?,Quale casa discografica ha inciso il primo album di Elvis?
Do Prince Harry and Prince William have the same mother?,Il principe Harry e il principe William hanno la stessa madre?
In which military conflicts did Lawrence of Arabia participate?,A quali conflitti militari ha partecipato Lawrence d'Arabia?
Who invented the zipper?,Chi ha inventato la cerniera lampo?
Which U.S. states are in the same time zone as Utah?,Quali stati degli Stati Uniti d'America si trovano nello stesso fuso orario dello Utah?
Give me all islands that belong to Japan.,Dammi tutte le isole che appartengono al Giappone.
Who was the first president of the United States?,Chi è stato il primo presidente degli Stati Uniti?
"Which airports are located in California, USA?","Quali aeroporti si trovano in California, Stati Uniti?"
Who developed Minecraft?,Chi ha sviluppato Minecraft?
Which Chess players died in the same place they were born in?,Quali giocatori di scacchi morirono nel loro luogo di nascita?
How many space missions have there been?,Quante missioni spaziali ci sono state?
Give me all cars that are produced in Germany.,Dammi tutte le automobili che sono prodotte in Germania.
How many children did Benjamin Franklin have?,Quanti figli ebbe Benjamin Franklin?
Is Michelle Obama the wife of Barack Obama?,Michelle Obama è la moglie di Barack Obama?
Give me all actors starring in movies directed by William Shatner.,Dammi tutti gli attori che recitano in film diretti da William Shatner.
List the children of Margaret Thatcher.,Elenca i figli di Margaret Thatcher.
Which professional surfers were born in Australia?,Quali surfisti professionisti sono nati in Australia?
Who is the editor of Forbes?,Chi è l'editore di Forbes?
Who is the youngest player in the Premier League?,Chi è il giocatore più giovane della Premier League?
Was Natalie Portman born in the United States?,Natalie Portman è nata negli Stati Uniti?
What is the second highest mountain on Earth?,Qual è la seconda montagna più alta sulla Terra?
Give me all books by William Goldman with more than 300 pages.,Dammi tutti i libri di Wiliam Goldman con più di 300 pagine.
Give me all Danish films.,Dammi tutti i film danesi.
What is the largest city in Australia?,Qual è la città più grande d'Australia?
Who painted The Storm on the Sea of Galilee?,Chi dipinse il Cristo nella tempesta sul mare di Galilea?
Give me all launch pads operated by NASA.,Dammi tutte le rampe di lancio gestite dalla NASA.
Who wrote the lyrics for the Polish national anthem?,Chi ha scritto il testo dell'inno nazionale polacco?
Who created the comic Captain America?,Chi ha creato il fumetto Capitan America?
Who was the father of Queen Elizabeth II?,Chi fu il padre della regina Elisabetta II?
Which U.S. state has the abbreviation MN?,Quale stato americano è abbreviato MN?
Which movies did Kurosawa direct after Rashomon?,Che film ha diretto Kurosawa dopo Rashomon?
List all episodes of the first season of the HBO television series The Sopranos.,Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos.
Which telecommunications organizations are located in Belgium?,Quali aziende di telecomunicazione hanno sede in Belgio?
Give me a list of all American inventions.,Dammi la lista delle invenzioni americane.
Which films starring Clint Eastwood did he direct himself?,Quali film con Clint Eastwoon erano diretti da lui stesso?
Who are the parents of the wife of Juan Carlos I?,Chi sono i genitori della moglie di Juan Carlos I?
What is the birth name of Angela Merkel?,Qual è il nome da nubile di Angela Merkel?
In which UK city are the headquarters of the MI6?,In quale città del Regno Unito si trova il quartier generale del MI6?
What is the longest river?,Qual è il fiume più lungo?
Did Socrates influence Aristotle?,Socrate ha influenzato Aristotele?
In which films directed by Garry Marshall was Julia Roberts starring?,In quali film diretti da Garry Marshall recita Julia Roberts?
Who was called Scarface?,Chi venne chiamato Scarface?
Is Christian Bale starring in Velvet Goldmine?,Christian Bale ha recitato in Velvet Goldmine?
What is the time zone of Salt Lake City?,In quale fuso orario si trova Salt Lake City?
List all games by GMT.,Elenca tutti i giochi di GMT.
Which organizations were founded in 1930?,Quali aziende sono state fondate nel 1930?
To which countries does the Himalayan mountain system extend?,Su quali stati si estende la catena montuosa dell'Himalaya?
When was Alberta admitted as province?,Quando Alberta è stata ammessa come provincia?
Which countries are connected by the Rhine?,Quali stati sono collegati dal Reno?
Give me all cosmonauts.,Dammi tutte le cosmonaute.
Who is the mayor of Tel Aviv?,Chi è il sindaco di Tel Aviv?
Which ships were called after Benjamin Franklin?,Quali navi sono state battezzate in onore di Benjamin Franklin?
Who is the husband of Amanda Palmer?,Chi è il marito di Amanda Palmer?
How many employees does Google have?,Quanti dipendenti ha Google?
Does Breaking Bad have more episodes than Game of Thrones?,Breaking Bad ha più episodi di Game of Thrones?
Give me a list of all bandleaders that play trumpet.,Dammi la lista di tutti i direttori di orchestra che suonano la tromba.
When did Michael Jackson die?,Quando è morto Michael Jackson?
How many languages are spoken in Turkmenistan?,Quante lingue sono parlate in Turkmenistan?
How many inhabitants does Maribor have?,Quanti abitanti ha Maribor?
Give me a list of all lakes in Denmark.,Dammi una lista di tutti i laghi della Danimarca.
Is proinsulin a protein?,La proinsulina è una proteina?
Which Greek goddesses dwelt on Mount Olympus?,Quale dea greca risiedeva sul monte Olimpo?
How high is the Mount Everest?,Quanto è alto il Monte Everest?
Give me all communist countries.,Dammi tutti i paesi comunisti.
Which instruments does Cat Stevens play?,Quali strumenti suona Cat Stevens?
Sean Parnell is the governor of which U.S. state?,Di quale stato americano Sean Parnell è governatore?
Did Tesla win a nobel prize in physics?,Tesla ha vinto un premio Nobel per la fisica?
Who is the governor of Wyoming?,Chi è il governatore del Wyoming?
When were the Hells Angels founded?,Quando si sono formati gli Hells Angels?
Give me all libraries established earlier than 1400.,Dammi tutte le biblioteche fondate prima del 1400.
How many countries are there in Europe?,Quanti stati ci sono in Europa?
Who is the mayor of Berlin?,Chi è il sindaco di Berlino?
How many people live in the capital of Australia?,Quante persone vivono nella capitale dell'Australia?
Who founded Intel?,Chi ha fondato Intel?
Give me all B-sides of the Ramones.,Dammi tutti i lati B dei Ramones.
Give me all Apollo 14 astronauts.,Dammi gli astronauti dell'Apollo 14.
Which music albums contain the song Last Christmas?,Quali album musicali contengono la canzone Last Christmas?
Give me all world heritage sites designated within the past two years.,Dammi tutti i siti designati patrimoni dell'umanità negli ultimi due anni.
Which cities does the Weser flow through?,Attraverso quali città scorre il fiume Weser?
Give me all movies directed by Francis Ford Coppola.,Dammi tutti i film diretti da Francis Ford Coppola.
What is the ruling party in Lisbon?,Qual è il partito che governa Lisbona?
Who produces Orangina?,Chi produce l'Orangina?
Give me all companies in Munich.,Dammi tutte le aziende di Monaco.
What is the melting point of copper?,Qual è il punto di fusione del rame?
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,La crisi dei missili di Cuba avvenne prima dello sbarco nella Baia dei Porci?
Who was John F. Kennedy's vice president?,Chi fu il vicepresidente di John F. Kennedy?
Who is the Formula 1 race driver with the most races?,Qual è il pilota di Formula 1 con più gare?
Which U.S. state has been admitted latest?,Quale stato degli Stati Uniti è stato ammesso per ultimo?
Give me all Methodist politicians.,Dammi tutti i politici metodisti.
What is the highest place of the Urals?,Qual è il punto più alto del Uràli?
Which monarchs were married to a German?,Quali monarchi erano sposati con persone tedesche?
Show me all songs from Bruce Springsteen released between 1980 and 1990.,Dammi tutte le canzoni di Bruce Springsteen rilasciate tra il 1980 e il 1990.
Give me all professional skateboarders from Sweden.,Dammi tutti gli skateboarders professionisti della Svezia.
Give me all members of Prodigy.,Dammi tutti i membri dei Prodigy.
How many students does the Free University in Amsterdam have?,Quanti studenti ci sono nella Libera Università di Amsterdam?
Give me all Australian nonprofit organizations.,Dammi tutte le organizzazioni australiane non a scopo di lucro.
In which country does the Ganges start?,In quale stato nasce il Gange?
Do Prince Harry and Prince William have the same parents?,Il principe Harry e il principe William hanno gli stessi genitoris?
How many missions does the Soyuz programme have?,Quante missioni ha il programma Sojuz?
Give me all Danish movies.,Dammi tutti i film danesi.
Is Rita Wilson the wife of Tom Hanks?,Rita Wilson è la moglie di Tom Hanks?
Who was called Frank The Tank?,Chi venne chiamato Frank The Tank?
Which movies did Kurosawa direct?,Che film ha diretto Kurosawa?
Which television shows were created by John Cleese?,Quali serie televisive sono state create dalla John Cleese?
Which awards did Douglas Hofstadter win?,Quali premi ha vinto Douglas Hofstadter?
Who is the daughter of Robert Kennedy married to?,Con chi è sposata la figlia di Robert Kennedy?
Who is the owner of Rolls-Royce?,Chi è il proprietario di Rolls-Royce?
Was the wife of president Lincoln called Mary?,La moglie del presidente Lincoln si chiamava Mary?
Who was the 16th president of the United States?,Chi è stato il sedicesimo presidente degli Stati Uniti?
Is Pamela Anderson a vegan?,Pamela Anderson è vegana?
Give me all animal species that live in the Amazon rainforest.,Dammi tutte le specie animali che vivono nella Foresta Amazzonica.
How many inhabitants does the largest city in Canada have?,Quanti abitanti ha la città più grande del Canada?
In which studio did the Beatles record their first album?,In quali studio i Beatles hanno registrato il loro primo album?
Who was the first to climb Mount Everest?,Chi è stato il primo a scalare il Monte Everest?
How many programming languages are there?,Quanti linguaggi di programmazione esistono?
What is the official color of the University of Oxford?,Qual è il colore ufficiale dell'Università di Oxford?
How many gold medals did Michael Phelps win at the 2008 Olympics?,Quante medaglie d'oro ha vinto Michael Phelps alle Olimpiadi del 2008?
To which artistic movement did the painter of The Three Dancers belong?,A quale movimento artistico apparteneva il pittore de I tre ballerini?
Give me all animals that are extinct.,Dammi tutti gli animali estinti.
Does Abraham Lincoln's death place have a website?,Il luogo di morte di Abraham Lincoln ha un sito web?
How deep is Lake Placid?,Quanto è profondo il Lake Placid?
Give me the grandchildren of Bruce Lee.,Dammi i nipoti di Bruce Lee.
Who is the youngest Darts player?,Chi è il giocatore di freccette più giovane?
Where was Bach born?,Dove è nato Bach?
In which countries can you pay using the West African CFA franc?,In quali stati si può pagare usando il West African CFA franc?
What are the top-10 action role-playing video games according to IGN?,Quali sono i 10 migliori videogiochi di ruolo d'azione secondo l'IGN?
What is the most frequent cause of death?,Qual è la causa principale di morte?
Does the Isar flow into a lake?,L'Isar sfocia in un lago?
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,Dammi tutti i film prodotti da Steven Spielberg con un budget finale di produzione di almeno 80 milioni di dollari.
Give me all writers that won the Nobel Prize in literature.,Dammi tutti gli scrittori che hanno vinto il Premio Nobel della letteratura.
Give me all taikonauts.,Dammi tutte i taikonauti.
How many pages does War and Peace have?,Quante pagine ha Guerra e Pace?
What is the bridge with the longest span?,Qual è il ponte con la campata più lunga?
Give me all actors called Baldwin.,Dammi tutti gli attori che si chiamano Baldwin.
Who is the tallest player of the Atlanta Falcons?,Chi è il giocatore più alto degli Atlanta Falcons?
Which rivers flow into a German lake?,Quali fiumi sfociano in un lago tedesco?
How many James Bond movies are there?,Quanti film di James Bond ci sono stati?
Which rockets were launched from Baikonur?,Quali missili furono lanciati da Baikonur?
Which pope succeeded John Paul II?,Quale papa fu il successore di Giovanni Paolo II?
Give me all Dutch parties.,Dammi tutti i partiti politici olandesi.
When is Halloween?,Quand'è Halloween?
Give me all Swedish oceanographers.,Dammi tutti gli oceanografi svedesi.
Give me all actors who were born in Berlin.,Dammi tutti gli attori nati a Berlino.
What was the last movie with Alec Guinness?,Qual è l'ultimo film con Alec Guinness?
Which poet wrote the most books?,Quale poeta ha scritto il maggior numero di libri?
How many languages are spoken in Colombia?,Quante lingue sono parlate in Colombia?
What does IYCM stand for?,Che cosa significa IYCM?
What was Brazil's lowest rank in the FIFA World Ranking?,Quale è stata la peggior posizione del Brasile nella classifica mondiale della FIFA?
Give me the capitals of all countries that the Himalayas run through.,Dammi tutte le capitali degli stati attraversati dall'Himalaya.
Which actor played Chewbacca?,Quale attore ha recitato il ruolo di Chewbacca?
Which ingredients do I need for carrot cake?,Di quali ingredienti ho bisogno per la torta di carote?
Is Cola a beverage?,La Cola è una bevanda?
Who has Tom Cruise been married to?,Con chi è stato sposato Tom Cruise?
Which of Tim Burton's films had the highest budget?,Quali film di Tim Burton hanno avuto il budget più alto?
How heavy is Jupiter's lightest moon?,¿Cuánto pesa il satellite più leggero di Giove?
Which actor was casted in the most movies?,Quale attore è stato scritturato in piùfilm?
Is James Bond married?,James è Bond sposato?
Give me all Australian metalcore bands.,Dammi tutte i gruppi metalcore australiani.
Give me all actors who were born in Paris after 1950.,Dammi tutti gli attori nati a Parigi dopo il 1950.
When was Carlo Giuliani shot?,Quando è stato ucciso Carlo Giuliani?
Who are the four youngest MVP basketball players?,Chi sono i quattro più giovani giocatori di maggior valore (MVP)?
Which companies have more than 1 million employees?,Quali aziende hanno più di 1 milione di dipendenti?
Give all swimmers that were born in Moscow.,Dammi tutti i nuotatori che sono nati a Mosca.
Who was called Rodzilla?,Chi era chiamato Rodzilla?
Show me the book that Muhammad Ali wrote.,Mostrami il libro scritto da Muhammad Ali.
How many museums does Paris have?,Quanti musei ha Parigi?
Which city has the most inhabitants?,Quale città ha il maggior numero di abitanti?
Which city has the least inhabitants?,Quale città ha il minor numero di abitanti?
Give me all the TV shows with Neil Patrick Harris.,Dammi tutti i programmi televisivi con Neil Patrick Harris.
Who wrote The Hunger Games?,Chi ha scritto Hunger Games?
Show a list of soccer clubs that play in the Bundesliga.,Dammi una lista di club calcistici che giocano nella Bundesliga.
What country is Mount Everest in?,In quale stato si trova il Monte Everest?
Who is the founder of Penguin Books?,Chi è il fondatore di Penguin Books?
Which programming languages influenced Javascript?,Quali linguaggi di programmazione hanno influenzato Javascript?
Did Che Guevara have children?,Che Guevara aveva dei figli?
List all the musicals with music by Elton John.,Elenca tutti i musicals con musiche di Elton John.
Show me all the breweries in Australia.,Mostrami tutti i birrifici in Australia.
When was the Titanic completed?,Quando è stato completato il Titanic?
How much did Pulp Fiction cost?,Quanto è costato Pulp Fiction?
How many airlines are there?,Quante compagnie aeree esistono?
Who played Agent Smith in Matrix?,Chi interpretava l'agente Smith in Matrix?
How much carbs does peanut butter have?,Quanti carboidrati ha il burro di noccioline?
Which book has the most pages?,Quale libro ha il maggior numero di pagine?
Which bridges cross the Seine?,Quanti ponti attraversano la Senna?
Who is the mayor of the capital of French Polynesia?,Chi è il sindaco della capitale della Polinesia Francese?
When did Dracula's creator die?,Quando è morto il creatore di Dracula?
What is the location of the Houses of Parliament?,Dove si trova il Palazzo di Westminster?
Show me all English Gothic buildings in Kent.,Mostrami tutti gli edifici in stile gotico inglese nel Kent.
Who was the pope that founded the Vatican Television?,Quale papa ha fondato la televisione vaticana?
What airlines are part of the SkyTeam alliance?,Quali compagnie aeree fanno parte dell'alleanza SkyTeam?
"What is the total population of Melbourne, Florida?","Qual è la popolazione totale di Melbourne, Florida?"
Which airports does Air China serve?,Quali aeroporti sono serviti da Air China?
In which year was Rachel Stevens born?,In quale anno è nata Rachel Stevens?
Where was JFK assassinated?,Dove è stato assassinato JFK?
How many politicians graduated from Columbia University?,Quanti politici si sono laureati alla Columbia University?
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,Quale scienziato è conosciuto per il progetto Manhattan e per il premio Nobel per la pace?
What is the highest volcano in Africa?,Qual è il vulcano più alto in Africa?
Which beer originated in Ireland?,Quale birra è originaria dell'Irlanda?
What are the specialities of the UNC Health Care?,Quali sono le specialità della UNC Health Care?
Who is the owner of Facebook?,Chi è il proprietario di Facebook?
From which region is the Melon de Bourgogne?,Da quale regione proviene il Melon de Bourgogne?
Who was influenced by Socrates?,Chi fu influenzato da Socrate?
Who was president of Pakistan in 1978?,Chi fu presidente del Pakistan nel 1978?
Give me English actors starring in Lovesick.,Dammi gli attori inglesi che hanno recitato in Lovesick.
Give me all types of eating disorders.,Dammi tutti i tipi di disturbi alimentari.
Who was married to president Chirac?,Chi è stato sposato con il presidente Chirac?
What is the largest metropolitan area in Washington state?,Qual è la più grande area metropolitana nello stato di Washington?
Where in France is sparkling wine produced?,Dove si produce vino frizzante in Francia?
Where did Hillel Slovak die?,Dove è morto Hillel Slovak?
What is the timezone in San Pedro de Atacama?,Qual è il fuso orario di San Pedro de Atacama?
In which city does the Chile Route 68 end?,In quale città termina la Route 68 in Cile?
Butch Otter is the governor of which U.S. state?,Di quale stato americano Butch Otter è governatore?
How tall is Amazon Eve?,Quanto è alta Amazon Eve?
Which weapons did Heckler & Koch develop?,Quali armi sono state create da Heckler & Koch?
Where is Fort Knox located?,Dove si trova Fort Knox?
Who created Batman?,Chi ha creato Batman?
Which politicians were married to a German?,Quali politici erano sposati con persone tedesche?
When was Jack Wolfskin founded?,Quando è stata fondata Jack Wolfskin?
How deep is Lake Chiemsee?,Quanto è profondo il Chiemsee?
Give me the grandchildren of Elvis Presley.,Dammi i nipoti di Elvis Presley.
What does ICRO stand for?,Che cosa significa ICRO?
When was Olof Palme shot?,Quando è stato ucciso Olof Palme?
List all the musicals with music by Leonard Bernstein.,Elenca tutti i musical con musiche di Leonard Bernstein.
Which airports does Yeti Airlines serve?,Quali aeroporti sono serviti da Yeti Airlines?
Give me all ESA astronauts.,Dammi tutti gli astronauti dell'ESA.
Give me all Swedish holidays.,Dammi tutti i giorni festivi svedesi.
Who is the youngest Pulitzer Prize winner?,Chi è il più giovane vincitore del premio Pulitzer?
Which animals are critically endangered?,Quali animali sono in pericolo di estinzione?
Which soccer players were born on Malta?,Quali calciatori sono nati a Malta?
Did Arnold Schwarzenegger attend a university?,Arnold Schwarzenegger ha frequentato l'Università?
Which programming languages were influenced by Perl?,Quali linguaggi di programmazione sono stati influenzati da Perl?
Is Barack Obama a democrat?,Barack Obama è un democratico?
How many children does Eddie Murphy have?,Quanti figli ha Eddie Murphy?
Who is the oldest child of Meryl Streep?,Chi è il figlio maggiore di Meryl Streep?
Who killed John Lennon?,Chi ha ucciso John Lennon?
Which frequent flyer program has the most airlines?,Quale programma frequent flyer ha la maggior parte delle compagnie aeree?
In which city is Air China headquartered?,In quale città Air China ha il quartier generale?
Which artists were born on the same date as Rachel Stevens?,Quali artisti sono nati la stessa data di Rachel Stevens?
