input_lang,output_lang
Give me the birthdays of all actors of the television show Charmed.,تاریخ تولد تمام بازیگران نمایش تلویزیونی چارمد را لیست کن.
How many employees does IBM have?,آی.بی.آم. چند کارمند دارد؟
Which states border Illinois?,ایلینوی با چه ایالت هایی هم مرز است؟
In which country is the Limerick Lake?,دریاچه لیمریک در کدام کشور است؟
Which television shows were created by John Cleese?,چه نمایش های تلویزیونی توسط جان کلیز ساخته شدند؟
Which mountain is the highest after the Annapurna?,بلندترین کوه پس از آناپورنا چیست؟
In which films directed by Garry Marshall was Julia Roberts starring?,در چه فیلمی که توسط گری مارشال کارگردانی شد جولیا رابرتس بازی کرد؟
Which bridges are of the same type as the Manhattan Bridge?,چه پل هایی هم نوع پل منهتن هستند؟
Was U.S. president Jackson involved in a war?,آیا رئیس جمهور ایالات متحده جکسون درگیر جنگی شد؟
Give me all communist countries.,تمام کشورهای کمونیست را لیست کن.
Which awards did Douglas Hofstadter win?,داگلاس هافستادر چه جایزه هایی را برد؟
Who is the daughter of Robert Kennedy married to?,دختر رابرت کندی با چه کسی ازدواج کرده است؟
Which U.S. state has the highest population density?,کدام ایالت ایالات متحده بیشترین تراکم جمعیت را دارد؟
What is the currency of the Czech Republic?,واحد پول جمهوری چک چیست؟
Which countries adopted the Euro?,کدام کشورها یورو را قبول کردند؟
What is the area code of Berlin?,پیش شماره برلین چند است؟
Which countries have more than two official languages?,چه کشورهایی بیش از دو زبان رسمی دارند؟
Who is the owner of Rolls-Royce?,چه کسی مالک رولز-رویس است؟
Through which countries does the Yenisei river flow?,رود ینی سئی از چه کشورهایی می گذرد؟
When did Latvia join the EU?,لتونی کی به اتحادیه اروپا پیوست؟
Which politicians were married to a German?,چه سیاستمدارانی با یک آلمانی ازدواج کردند؟
When was the Battle of Gettysburg?,نبرد گتیسبورگ کی رخ داد؟
Which river does the Brooklyn Bridge cross?,پل بروکلین از روی چه رودی می گذرد؟
What is the highest mountain in Australia?,مرتفع ترین کوه در استرالیا چیست؟
Give me all soccer clubs in Spain.,تمام باشگاه های فوتبال در اسپانیا را لیست کن.
What is the official language of Suriname?,زبان رسمی سورینام چیست؟
Who is the mayor of Tel Aviv?,چه کسی شهردار تل آویو است؟
Who designed the Brooklyn Bridge?,چه کسی پل بروکلین را طراحی کرد؟
Which telecommunications organizations are located in Belgium?,چه سازمان های مخابراتی در بلژیک واقع شده اند؟
Is Frank Herbert still alive?,آیا فرانک هربرت هنوز زنده است؟
What is the highest place of the Urals?,بالاترین نقطه در اورال کجاست؟
Who is the editor of Forbes?,ویراستار فوربز کیست؟
Give me all companies in the advertising industry.,تمام شرکت هایی که در صنعت تبلیغات فعال هستند را لیست کن.
How many countries are there in Europe?,چه تعداد کشور در اروپا هستند؟
What did Bruce Carver die from?,بروس کارور در اثر چه چیزی فوت کرد؟
Give me all libraries established earlier than 1400.,تمام کتاب خانه هایی که قبل از 1400 تأسیس شدند را لیست کن.
Which presidents were born in 1945?,چه رئیس جمهورهایی در 1945 متولد شدند؟
Give me all federal chancellors of Germany.,تمام صدراعظم های آلمان را لیست کن.
Who was the wife of U.S. president Lincoln?,چه کسی همسر رئیس جمهور ایالات متحده لینکلن بود؟
Who developed the video game World of Warcraft?,چه کسی بازی ویدئویی ورلد آف وارکرافت را ساخت؟
What is the official website of Tom Cruise?,وبسایت رسمی تام کروز چیست؟
List all episodes of the first season of the HBO television series The Sopranos.,تمام قسمت های فصل اول سریال تلویزیونی سوپرانوز متعلق به اچ.بی.او را لیست کن.
Who produced the most films?,چه کسی بیشترین تعداد فیلم را تولید کرده است؟
Give me all people with first name Jimmy.,تمام افرادی که اسم کوچک آنها جیمی است را لیست کن.
In which city did John F. Kennedy die?,جان اف. کندی در کدام شهر فوت کرد؟
Is there a video game called Battle Chess?,آیا بازی ویدئویی به نام بتل چس وجود دارد؟
Which mountains are higher than the Nanga Parbat?,چه کوه هایی از نانگا پاربات بلندتر هستند؟
Who created Wikipedia?,چه کسی ویکی پدیا را ساخت؟
Give me all actors starring in Last Action Hero.,تمام بازیگرانی که در لست اکشن هیرو بازی کردند را لیست کن.
Which software has been developed by organizations founded in California?,چه نرم افزارهایی توسط سازمان هایی که در کالیفرنیا تأسیس شدند توسعه یافته است؟
Which companies work in the aerospace industry as well as in medicine?,چه شرکت هایی در صنعت هوافضا و نیز پزشکی فعال هستند؟
Is Christian Bale starring in Velvet Goldmine?,آیا کریستین بیل در ولوت گولدماین بازی می کند؟
Give me the websites of companies with more than 500000 employees.,وبسایت شرکت های با بیش از 500000 کارمند را لیست کن.
Which actors were born in Germany?,چه بازیگرانی در آلمان متولد شدند؟
Which caves have more than 3 entrances?,چه غارهایی بیشتر از 3 ورودی دارند؟
Was the wife of president Lincoln called Mary?,آیا همسر رئیس جمهور لینکلن مری نام داشت؟
Give me all films produced by Hal Roach.,تمام فیلم های تولید شده توسط هال روچ را لیست کن.
Give me all video games published by Mean Hamster Software.,تمام بازی های ویدئویی که توسط مین همستر سافتور منتشر شدند را لیست کن.
Which languages are spoken in Estonia?,چه زبان هایی در استونی صحبت می شود؟
How many Aldi stores are there?,چه تعداد فروشگاه آلدی وجود دارد؟
Which capitals in Europe were host cities of the summer olympic games?,چه پایتخت هایی در اروپا شهرهای میزبان بازی های المپیک تابستانی بودند؟
Who was the 16th president of the United States?,چه کسی شانزدهمین رئیس جمهور ایالات متحده بود؟
How many films did Hal Roach produce?,هال روچ چه تعداد فیلم تولید کرد؟
Which music albums contain the song Last Christmas?,کدام آلبوم موسیقی آهنگ لست کریسمس را دارد؟
Give me all books written by Danielle Steel.,تمام کتاب های نوشته شده توسط دانیل استیل را لیست کن.
"Which airports are located in California, USA?",چه فرودگاه هایی در کالیفرنیا قرار دارند؟
Which states of Germany are governed by the Social Democratic Party?,در کدام ایالت های آلمان حزب سوسیال دموکرات حاکم است؟
Give me all Canadian Grunge record labels.,تمام ناشران موسیقی گرانج کانادایی را لیست کن.
Which country has the most official languages?,کدام کشور بیشترین زبان رسمی را دارد؟
In which programming language is GIMP written?,گیمپ با چه زبان برنامه نویسی نوشته شده است؟
Who produced films starring Natalie Portman?,چه کسی فیلم هایی با بازی ناتالی پورتمن را تولید کرده است؟
Give me all movies with Tom Cruise.,تمام فیلم های تام کروز را لیست کن.
In which films did Julia Roberts as well as Richard Gere play?,در چه فیلم هایی جولیا رابرتس همچنین ریچارد گییر بازی کردند؟
Give me all female given names.,تمام اسم های دخترانه را لیست کن.
Who wrote the book The Pillars of the Earth?,چه کسی کتاب ستون های زمین را نوشت؟
How many films did Leonardo DiCaprio star in?,لئوناردو دیکاپریو در چند فیلم بازی کرده است؟
Give me all soccer clubs in the Premier League.,تمام باشگاه های فوتبال در لیگ برتر را لیست کن.
In which U.S. state is Mount McKinley located?,کوه مک کینلی در کدام ایالت ایالات متحده واقع شده است؟
When was Jack Wolfskin founded?,جک ولفیش کی تأسیس شد؟
Which organizations were founded in 1930?,چه سازمان هایی در 1930 تأسیس شدند؟]
What is the highest mountain?,بلندترین کوه کدام است؟
Was Natalie Portman born in the United States?,آیا ناتالی پورتمن در ایالات متحده متولد شد؟
Which budget did the first movie of Zdenek Sverak have?,اولین فیلم زندیک سویراک چقدر بودجه داشت؟
How many big fires struck Paris during the Middle Ages?,چند آتش سوزی بزرگ در طول قرون وسطی در پاریس رخ داده است؟
Is Pamela Anderson a vegan?,آیا پاملا اندرسون یک گیاهخوار است؟
How often was Michael Jordan divorced?,مایکل جردن چند بار طلاق گرفته است؟
What is the most beautiful painting?,زیباترین نقاشی کدام است؟
Give me all animal species that live in the Amazon rainforest.,تمام گونه های جانوری که در جنگل انبوه آمازون زندگی می کنند را لیست کن.
How many inhabitants does the largest city in Canada have?,بزرگترین شهر در کانادا چه تعداد سکنه دارد؟
In which studio did the Beatles record their first album?,بیتلز اولین آلبوم خود را در کدام استودیو ضبط کردند؟
Who was the first to climb Mount Everest?,چه کسی برای اولین بار قله اورست را فتح کرد؟
How many programming languages are there?,چه تعداد زبان برنامه نویسی وجود دارد؟
What is the official color of the University of Oxford?,رنگ رسمی دانشگاه آکسفورد چیست؟
How many gold medals did Michael Phelps win at the 2008 Olympics?,مایکل فلپس چه تعداد مدال طلا در المپیک 2008 برد؟
To which artistic movement did the painter of The Three Dancers belong?,نقاش سه رقصنده به چه جنبش هنری تعلق دارد؟
Give me all animals that are extinct.,تمام حیواناتی که منقرض شده اند را لیست کن.
Does Abraham Lincoln's death place have a website?,آیا محل مرگ آبراهام لینکلن وبسایت دارد؟
How deep is Lake Chiemsee?,دریاچه چیمسی چقدر عمیق است؟
Give me the grandchildren of Elvis Presley.,نوه های الویس پرسلی را لیست کن.
Who is the youngest Darts player?,چه کسی جوان ترین بازیکن دارت است؟
Where was Bach born?,باخ کجا متولد شد؟
In which countries can you pay using the West African CFA franc?,در کدام کشورها شما می توانید از فرانک سی.اف.ای. آفریقای غربی برای پرداخت استفاده کنید؟
What are the top-10 action role-playing video games according to IGN?,10 بازی ویدئویی نقش آفرینی اکشن برتر بر اساس آی.جی.ان. کدام است؟
What is the most frequent cause of death?,شایع ترین علت مرگ چیست؟
Does the Isar flow into a lake?,آیا ایسار به یک دریاچه می ریزد؟
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,تمام فیلم های تولید شده توسط استیون اسپیلبرگ با بودجه حداقل 80 میلیون دلار را لیست کن.
Give me all writers that won the Nobel Prize in literature.,تمام نویسندگانی که جایزه نوبل در ادبیات را بردند لیست کن.
Give me all taikonauts.,تمام فضانوردان چینی را لیست کن.
How many pages does War and Peace have?,جنگ و صلح چند صفحه دارد؟
What is the bridge with the longest span?,کدام پل بیشترین طول را دارد؟
Give me all actors called Baldwin.,تمام بازیگران با نام بالدوین را لیست کن.
Who is the tallest player of the Atlanta Falcons?,بلندترین بازیکن آتلانتا فالکون کیست؟
Which rivers flow into a German lake?,کدام رودها به یک دریاچه آلمانی می ریزند؟
How many James Bond movies are there?,چه تعداد فیلم جیمز باند موجود است؟
Which rockets were launched from Baikonur?,چه راکت هایی از بایکونور پرتاب شدند؟
Which pope succeeded John Paul II?,چه پاپی جانشین ژان پل دوم شد؟
Give me all Dutch parties.,تمام حزب های هلندی را لیست کن.
When is Halloween?,چه زمانی هالووین است؟
Give me all Swedish oceanographers.,تمام اقیانوس شناسان سوئدی را لیست کن.
Give me all actors who were born in Berlin.,تمام بازیگرانی که در برلین متولد شدند را لیست کن.
What was the last movie with Alec Guinness?,آخرین فیلم الک گینس چه بود؟
Which poet wrote the most books?,کدام شاعر بیشترین کتاب را نوشته است؟
How many languages are spoken in Colombia?,چه تعداد زبان در کلمبیا صحبت می شود؟
What does ICRO stand for?,آی.سی.آر.او. مخفف چیست؟
What was Brazil's lowest rank in the FIFA World Ranking?,پایین ترین رتبه برزیل در رتبه بندی جهانی فیفا چیست؟
Give me the capitals of all countries that the Himalayas run through.,پایتخت تمام کشورهایی که هیمالیا از آنها می گذرد را لیست کن.
Which actor played Chewbacca?,کدام بازیگر نقش چوباکا را بازی کرد؟
Which ingredients do I need for carrot cake?,چه مواد اولیه ای را من برای کیک هویج نیاز دارم؟
Is Cola a beverage?,آیا کولا یک نوشیدنی است؟
Who has Tom Cruise been married to?,تام کروز با چه کسی ازدواج کرده است؟
Which of Tim Burton's films had the highest budget?,کدام فیلم تیم برتون بیشترین بودجه را داشته است؟
How heavy is Jupiter's lightest moon?,سبک ترین قمر مشتری چقدر سنگین است؟
Which actor was casted in the most movies?,کدام بازیگر در بیشترین تعداد فیلم بازی کرده است؟
Is James Bond married?,آیا جیمز باند ازدواج کرده است؟
Give me all Australian metalcore bands.,تمام باندهای متال کور استرالیایی را لیست کن.
Give me all actors who were born in Paris after 1950.,تمام بازیگرانی که پس از 1950 در پاریس متولد شدند را لیست کن.
When was Olof Palme shot?,چه زمانی اولاف پالمه گلوله خورد؟
Who are the four youngest MVP basketball players?,چه کسانی چهار بازیکن بسکتبال جوان تر ام.وی.پی هستند؟
Which companies have more than 1 million employees?,چه شرکت هایی بیشتر از 1 میلیون کارمند دارند؟
Give all swimmers that were born in Moscow.,تمام شناگرهایی که در مسکو متولد شدند را لیست کن.
Who was called Rodzilla?,چه کسی رودزیلا نامیده شد؟
Show me the book that Muhammad Ali wrote.,کتابی را که محمد علی نوشت را به من نشان بده
How many museums does Paris have?,پاریس چند موزه دارد؟
Which city has the most inhabitants?,چه شهری بیشترین سکنه را دارد؟
Which city has the least inhabitants?,چه شهری کمترین سکنه را دارد؟
Give me all the TV shows with Neil Patrick Harris.,تمام نمایش های تلویزیونی با نیل پاتریک هریس را لیست کن.
Who wrote The Hunger Games?,چه کسی هانگر گیمز را نوشت؟
Show a list of soccer clubs that play in the Bundesliga.,لیستی از باشگاه های فوتبال که در بوندسلیگا بازی می کنند را نمایش بده.
What country is Mount Everest in?,کوه اورست در کدام کشور است؟
Who is the founder of Penguin Books?,چه کسی مؤسس پنگوئن بوکز است؟
Which programming languages influenced Javascript?,چه زبان های برنامه نویسی بر جاوااسکریپت تأثیر گذاشت؟
Did Che Guevara have children?,آیا چه گوارا فرزند داشت؟
List all the musicals with music by Leonard Bernstein.,تمام فیلم های موزیکال با موسیقی لئونارد برنستاین را لیست کن.
Show me all the breweries in Australia.,تمام آبجوسازی های استرالیا را لیست کن.
When was the Titanic completed?,چه زمانی تایتانیک کامل شد؟
How much did Pulp Fiction cost?,پالپ فیکشن چقدر هزینه داشت؟
How many airlines are there?,چند خط هوایی وجود دارد؟
Who played Agent Smith in Matrix?,چه کسی مأمور اسمیت را در ماتریکس بازی کرد؟
How much carbs does peanut butter have?,کره بادام زمینی چقدر کربوهیدرات دارد؟
Which book has the most pages?,چه کتابی بیشترین صفحه را دارد؟
Which bridges cross the Seine?,چه پل هایی از سن می گذرند؟
Who is the mayor of the capital of French Polynesia?,چه کسی شهردار پایتخت پلی نزی فرانسه است؟
When did Dracula's creator die?,چه زمانی خالق دراکولا فوت کرد؟
What is the location of the Houses of Parliament?,مکان کاخ وستمینستر کجاست؟
Show me all English Gothic buildings in Kent.,تمام ساختمان های به سبک گوتیک انگلیسی در کنت را لیست کن.
Who was the pope that founded the Vatican Television?,کدام پاپ تلویزیون واتیکان را تأسیس کرد؟
What airlines are part of the SkyTeam alliance?,چه خطوط هوایی عضو اتحاد اسکایتیم هستند؟
"What is the total population of Melbourne, Florida?",جمعیت کل ملبورن، فلوریدا چقدر است؟
Which airports does Yeti Airlines serve?,یتی ایرلاینرز در چه فرودگاه هایی فعالیت می کند؟
In which year was Rachel Stevens born?,ریچل استیونز در چه سالی متولد شد؟
Where was JFK assassinated?,[جان کندی کجا ترور شد؟
How many politicians graduated from Columbia University?,چه تعداد سیاستمدار از دانشگاه کلمبیا فارغ التحصیل شدند؟
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,کدام دانشمند بخاطر پروژه منهتن و جایزه صلح نوبل شناخته شده است؟
What is the highest volcano in Africa?,بلندترین آتش فشان در آفریقا کدام است؟
Which beer originated in Ireland?,منشأ کدام آبجو ایرلند است؟
What are the specialities of the UNC Health Care?,تخصص های UNC Health Care چیست؟
Who is the owner of Facebook?,چه کسی مالک فیسبوک است؟
From which region is the Melon de Bourgogne?,Melon de bourgogne از چه منطقه ای است؟
Who was influenced by Socrates?,چه کسانی تحت تأثیر سقراط بودند؟
Who was president of Pakistan in 1978?,رئیس جمهور پاکستان در 1978 چه کسی بود؟
Give me English actors starring in Lovesick.,بازیگران انگلیسی که در Lovesick بازی کردند را لیست کن.
Give me all types of eating disorders.,تمام انواع اختلالات غذا خوردن را لیست کن.
Who was married to president Chirac?,چه کسی با رئیس جمهور شیراک ازدواج کرد؟
What is the largest metropolitan area in Washington state?,بزرگترین منطقه شهری در ایالت واشنگتن چیست؟
Where in France is sparkling wine produced?,شراب گازدار در کجای فرانسه تولید می شود؟
Where did Hillel Slovak die?,کجا هیلل اسلووک فوت کرد؟
What is the timezone in San Pedro de Atacama?,منطقه زمانی در San Pedro de Atacama چیست؟
In which city does the Chile Route 68 end?,در کدام شهر مسیر 68 شیلی پایان می یابد؟
Give me all ESA astronauts.,تمام فضانوردان ایی.اس.ای را لیست کن.
Give me all Swedish holidays.,تمام تعطیلات سوئدی را لیست کن.
Who is the youngest Pulitzer Prize winner?,چه کسی جوان ترین برنده جایزه پولیتزر است؟
Which animals are critically endangered?,چه جانورانی در معرض خطر انقراض هستند؟
Which soccer players were born on Malta?,چه بازیکنان فوتبالی در مالت متولد شدند؟
Did Arnold Schwarzenegger attend a university?,آیا آرنولد شوارتزنگر در دانشگاهی حضور داشته است؟
Which programming languages were influenced by Perl?,چه زبان های برنامه نویسی تحت تأثیر پرل بودند؟
Is Barack Obama a democrat?,آیا باراک اوباما یک دموکرات است؟
How many children does Eddie Murphy have?,ادی مورفی چند فرزند دارد؟
Who is the oldest child of Meryl Streep?,چه کسی مسن ترین فرزند مریل استریپ است؟
Who killed John Lennon?,چه کسی جان لنون را کشت؟
Which frequent flyer program has the most airlines?,کدام برنامه مسافر هوایی مکرر بیشترین خطوط هوایی را دارد؟
In which city is Air China headquartered?,دفتر مرکزی ایر چاینا در کدام شهر است؟
Which artists were born on the same date as Rachel Stevens?,چه هنرمندانی در تاریخ یکسانی با ریچل استیونز متولد شد؟
How many scientists graduated from an Ivy League university?,چند دانشمند از یک دانشگاه آیوی لیگ فارغ التحصیل شدند؟
Which types of grapes grow in Oregon?,چه انواعی از انگور در اورگن رشد می کند؟
Who is starring in Spanish movies produced by Benicio del Toro?,چه کسی در فیلم های اسپانیایی تولید شده توسط بنیسیو دل تورو بازی می کند؟
Who is the manager of Real Madrid?,چه کسی مدیر رئال مادرید است؟
Give me the currency of China.,پول رایج چین چیست؟
Which movies starring Mickey Rourke were directed by Guy Ritchie?,چه فیلم هایی با بازی میکی رورک توسط گای ریچی کارگردانی شدند؟
Is Darth Vader Luke’s father?,آیا دارت ویدر پدر لوک است؟
How many companies were founded by the founder of Facebook?,چه تعداد شرکت توسط مؤسس فیسبوک تأسیس شدند؟
How many companies were founded in the same year as Google?,چه تعداد شرکت در سال یکسانی با گوگل تأسیس شدند؟
