input_lang,output_lang
How many monarchical countries are there in Europe?,Wieviele Monarchien gibt es in Europa?
Give me all presidents of the United States.,Gib mir alle Präsidenten der Vereinigten Staaten.
Who produced the most films?,Wer hat die meisten Filme produziert?
Which languages are spoken in Estonia?,Welche Sprachen werden in Estland gesprochen?
Is there a video game called Battle Chess?,"Gibt es ein Videospiel, das Battle Chess heißt?"
Which mountains are higher than the Nanga Parbat?,Welche Berge sind höher als der Nanga Parbat?
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,Wann kommt der Film Worst Case Scenario in den Niederlanden in die Kinos?
Is Jens Friebe a vegan?,Ist Jens Friebe Veganer?
Which telecommunications organizations are located in Belgium?,Welche Telekommunikationsunternehmen haben ihren Sitz in Belgien?
Which companies work in the aerospace industry as well as on nuclear reactor technology?,Welche Unternehmen sind sowohl in der Luft- und Raumfahrt als auch im Bereich der Reaktortechnologie tätig?
Which state of the USA has the highest population density?,Welcher Staat in den USA hat die höchste Bevölkerungsdichte?
Is the wife of president Obama called Michelle?,Heißt die Frau von Präsident Obama Michelle?
What is the highest mountain?,Was ist der höchste Berg?
Give me all Canadian Grunge record labels.,Gib mir alle kanadischen Grunge-Plattenfirmen.
What is the currency of the Czech Republic?,Was ist die Währung der Tschechischen Republik?
Give me all books written by Danielle Steel.,"Gib mir alle Bücher, die Danielle Steel geschrieben hat."
In which films directed by Garry Marshall was Julia Roberts starring?,"In welchem Filmen, bei denen Garry Marshall Regie geführt hat, hat Julia Roberts mitgespielt?"
Who developed the video game World of Warcraft?,Wer hat das Videospiel World of Warcraft entwickelt?
Who owns Aldi?,Wem gehört Aldi?
How many employees does IBM have?,Wieviele Angestellte hat IBM?
What is the area code of Berlin?,Was ist die Vorwahl von Berlin?
When was the Battle of Gettysburg?,Wann fand die Schlacht von Gettysburg statt?
What are the official languages of the Philippines?,Was sind die Amtssprachen der Philippinen?
Is Frank Herbert still alive?,Lebt Frank Herbert noch?
How many big fires struck Paris during the Middle Ages?,Wieviele Großbrände wüteten im Paris des Mittelalters?
Who wrote the book Les Piliers de la terre?,Wer schrieb das Buch Die Säulen der Erde?
Give me the homepage of Forbes.,Gib mir die Homepage von Forbes.
Is proinsulin a protein?,Ist Proinsulin ein Protein?
Which awards did WikiLeaks win?,Welche Preise hat WikiLeaks gewonnen?
List all episodes of the first season of the HBO television series The Sopranos!,Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.
Which country has the most official languages?,Welches Land hat die meisten Amtssprachen?
Which U.S. states possess gold minerals?,In welchen US-Staaten gibt es Goldvorkommen?
What is the most beautiful painting?,Welches Gemälde ist das schönste?
Who is the daughter of Ingrid Bergman married to?,Mit wem ist die Tochter von Ingrid Bergman verheiratet?
Is Egypts largest city also its capital?,Ist Ägyptens größte Stadt auch seine Hauptstadt?
Which caves have more than 3 entrances?,Welche Höhlen haben mehr als 3 Eingänge?
Give me all films produced by Hal Roach.,Gib mir alle Filme des Produzenten Hal Roach.
Which bridges are of the same type as the Manhattan Bridge?,Welche Brücken sind vom gleichen Typ wie die Manhattan Bridge?
Was U.S. president Jackson involved in a war?,War US-Präsident Jackson in einen Krieg verwickelt?
Which software has been developed by organizations founded in California?,"Welche Softwareprodukte wurde von Unternehmen entwickelt, die in Kalifornien gegründet wurden?"
Who has been the 5th president of the United States of America?,Wer war der 5. Präsident der Vereinigten Staaten von Amerika?
Which music albums contain the song Last Christmas?,Auf welchen Musikalben ist das Lied Last Christmas?
Give me all female Russian astronauts.,Gib mir alle russischen Astronautinnen.
Give me all actors starring in Last Action Hero.,"Gib mir alle Schauspieler, die in Last Action Hero mitgespielt haben."
Give me all companies in the advertising industry.,"Gib mir alle Unternehmen, die in der Werbebranche tätig sind."
Give me all animal species that live in the Teutoburg Forest.,"Gib mir alle Tierarten, die im Teutoburger Wald leben."
Which countries in the European Union adopted the Euro?,Welche Länder in der Europäischen Union haben den Euro übernommen?
When was Capcom founded?,Wann wurde Capcom gegründet?
Give me all soccer clubs in the Premier League.,Gib mir alle Vereine in der Premier League.
Who is the owner of Universal Studios?,Wem gehören die Universal Studios?
What did Bruce Carver die from?,Woran ist Bruce Carver gestorben?
How often did Jane Fonda marry?,Wie oft hat Jane Fonda geheiratet?
Which books by Kerouac were published by Viking Press?,Welche Bücher von Kerouac wurden von Viking Press verlegt?
Which U.S. state has the highest population density?,Welcher Staat in den USA hat die höchste Bevölkerungsdichte?
What is the founding year of the brewery that produces Pilsner Urquell?,"In welchem Jahr wurde die Brauerei gegründet, die Pilsner Urquell herstellt?"
Give me all federal chancellors of Germany.,Gib mir alle Bundeskanzler.
In which U.S. state is Mount McKinley located?,In welchem US-Bundesstaat befindet sich der Mount McKinley?
When was the Statue of Liberty built?,Wann wurde die Freiheitsstatue erbaut?
Give me all people that were born in Vienna and died in Berlin.,"Gib mir alle Personen, die in Wien geboren wurden und in Berlin gestorben sind."
How tall is Michael Jordan?,Wie groß ist Michael Jordan?
What is the total amount of men and women serving in the FDNY?,Wieviele Männer und Frauen arbeiten in der New Yorker Berufsfeuerwehr?
Give me all breeds of the German Shepherd dog.,Gib mir alle Schäferhundrassen.
What is the official language of Suriname?,Was ist die Amtssprache Von Surinam?
Who composed the music for Harold and Maude?,Wer hat die Musik für Harold und Maude komponiert?
In which city was the former Dutch queen Juliana buried?,In welcher Stadt wurde die ehemalige niederländische Königin Juliana beerdigt?
Who wrote the book The Pillars of the Earth?,Wer schrieb das Buch Die Säulen der Erde?
What are the nicknames of San Francisco?,Was sind die Spitznamen von San Francisco?
Which companies work in the aerospace industry as well as in medicine?,Welche Unternehmen sind sowohl in der Luft- und Raumfahrt als auch im Bereich der Medizin tätig?
Are tree frogs a type of amphibian?,Sind Laubfrösche Amphibien?
What were the main discoveries of the Mars rover Curiosity?,Was waren die wichtigsten Entdeckungen des Marsrovers Curiosity?
Where is the residence of the prime minister of Spain?,Wo wohnt der Premierminister von Spanien?
Which countries have more than ten caves?,In welchen Ländern gibt es mehr als zehn Höhlen?
Give me all sister cities of Brno.,Gib mir alle Partnerstädte von Brno.
Which other weapons did the designer of the Uzi develop?,Welche anderen Waffen hat der Erfinder der Uzi entwickelt?
Which countries adopted the Euro?,Welche Länder haben den Euro übernommen?
Which country does the creator of Miffy come from?,Aus welchem Land kommt der Erfinder von Nijntje?
Give me all female given names.,Gib mir alle weiblichen Vornamen.
Was Margaret Thatcher a chemist?,War Margaret Thatcher Chemikerin?
Which German cities have more than 250000 inhabitants?,Welche deutschen Städte haben mehr als 250000 Einwohner?
Was Marc Chagall a jew?,War Marc Chagall ein Jude?
How many Aldi stores are there?,Wieviele Aldi-Filialen gibt es?
What is the capital of Canada?,Was ist die Hauptstadt von Kanada?
What is the average temperature on Hawaii?,Was ist die Durchschnittstemperatur auf Hawaii?
In which U.S. state is Fort Knox located?,In welchem US-Bundesstaat liegt Fort Knox?
For which label did Elvis record his first album?,Welche Plattenfirma hat Elvis' erstes Album aufgenommen?
Do Prince Harry and Prince William have the same mother?,Haben Prinz Harry und Prinz William dieselbe Mutter?
In which military conflicts did Lawrence of Arabia participate?,An welchen militärischen Auseinandersetzungen war Lawrence von Arabien beteiligt?
Who invented the zipper?,Wer hat den Reisverschluss erfunden?
Which U.S. states are in the same time zone as Utah?,Welche US-Bundesstaaten liegen in derselben Zeitzone wie Utah?
Give me all islands that belong to Japan.,"Gib mir alle Inseln, die zu Japan gehören."
Who was the first president of the United States?,Wer war der erste Präsident der Vereinigten Staaten?
Who developed Minecraft?,Wer hat Minecraft entwickelt?
Which Chess players died in the same place they were born in?,"Welche Schachspieler starben an den gleichen Orten, an denen sie geboren wurden?"
How many space missions have there been?,Wieviele Weltraummissionen gab es?
Give me all cars that are produced in Germany.,"Gib mir alle Autos, die in Deutschland hergestellt werden."
How many children did Benjamin Franklin have?,Wieviele Kinder hatte Benjamin Franklin?
Is Michelle Obama the wife of Barack Obama?,Ist Michelle Obama die Frau von Barack Obama?
Give me all actors starring in movies directed by William Shatner.,"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat."
List the children of Margaret Thatcher.,Liste die Kinder von Margaret Thatcher auf.
Which professional surfers were born in Australia?,Welche Profisurfer wurden in Australien geboren?
Who is the editor of Forbes?,Wer ist der Herausgeber von Forbes?
Who is the youngest player in the Premier League?,Wer ist der jüngste Spieler in der Premier League?
What is the second highest mountain on Earth?,Was ist der zweithöchste Berg der Erde?
Give me all books by William Goldman with more than 300 pages.,Gib mir alle Bücher von William Goldman mit mehr als 300 Seiten.
Give me all Danish films.,Gib mir alle dänischen Filme.
What is the largest city in Australia?,Was ist die größte Stadt in Australien?
Who painted The Storm on the Sea of Galilee?,Wer malte Christus im Sturm auf dem See von Galilea?
Give me all launch pads operated by NASA.,Gib mir alle von der NASA betriebenen Startrampen.
Who wrote the lyrics for the Polish national anthem?,Wer schrieb den Text für die polnische Nationalhymne?
Who created the comic Captain America?,Wer hat den Comic Captain America erfunden?
Who was the father of Queen Elizabeth II?,Wer war der Vater von Königin Elizabeth II?
Which U.S. state has the abbreviation MN?,Welcher US-Bundesstaat hat die Abkürzung MN?
Which movies did Kurosawa direct after Rashomon?,Welche Filme hat Kurosawa nach Rashomon gedreht?
List all episodes of the first season of the HBO television series The Sopranos.,Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.
Give me a list of all American inventions.,Gib mir eine Liste aller amerikanischen Erfindungen.
Which films starring Clint Eastwood did he direct himself?,Bei welchen Filmen mit Clint Eastwood hat er selber Regie geführt?
Who are the parents of the wife of Juan Carlos I?,Wer sind die Eltern der Frau von Juan Carlos I?
What is the birth name of Angela Merkel?,Was ist der Geburtsname von Angela Merkel?
In which UK city are the headquarters of the MI6?,In welcher Stadt im Vereinigten Königreich ist das Hauptquartier des MI6?
What is the longest river?,Was ist der längste Fluss?
Did Socrates influence Aristotle?,Hat Sokrates Aristoteles beeinflusst?
Who was called Scarface?,Wer wurde Scarface genannt?
Is Christian Bale starring in Velvet Goldmine?,Spielt Christian Bale in Velvet Goldmine mit?
What is the time zone of Salt Lake City?,In welcher Zeitzone liegt Salt Lake City?
List all games by GMT.,Liste alle Spiele von GMT auf.
Which organizations were founded in 1930?,Welche Unternehmen wurden 1930 gegründet?
To which countries does the Himalayan mountain system extend?,Über welche Länder erstreckt sich der Himalaya?
When was Alberta admitted as province?,Wann wurde die Provinz Alberta gegründet?
Which countries are connected by the Rhine?,Welche Länder verbindet der Rhein?
Give me all cosmonauts.,Gib mir alle Kosmonauten.
Who is the mayor of Tel Aviv?,Wer ist der Bürgermeister von Tel Aviv?
Which ships were called after Benjamin Franklin?,Welche Schiffe wurden nach Benjamin Franklin benannt?
Who is the husband of Amanda Palmer?,Wer ist der Mann von Amanda Palmer?
How many employees does Google have?,Wieviele Angestellte hat Google?
Does Breaking Bad have more episodes than Game of Thrones?,Hat Breaking Bad mehr Episoden als Game of Thrones?
Give me a list of all bandleaders that play trumpet.,"Gib mir eine Liste aller Bandleader, die Trompete spielen."
When did Michael Jackson die?,Wann starb Michael Jackson?
How many languages are spoken in Turkmenistan?,Wieviele Sprachen werden in Turkmenistan gesprochen?
How many inhabitants does Maribor have?,Wieviele Einwohner hat Maribor?
Give me a list of all lakes in Denmark.,Gib mir eine Liste aller Seen in Dänemark.
Which Greek goddesses dwelt on Mount Olympus?,Welche griechischen Göttinnen bewohnten den Olymp?
How high is the Mount Everest?,Wie hoch ist der Mount Everest?
Give me all communist countries.,Gib mir alle kommunistischen Länder.
Which instruments does Cat Stevens play?,Welche Instrumente spielt Cat Stevens?
Sean Parnell is the governor of which U.S. state?,Von welchem US-Bundesstaat ist Sean Parnell der Gouverneur?
Did Tesla win a nobel prize in physics?,Hat Tesla den Nobelpreis für Physik gewonnen?
Who is the governor of Wyoming?,Wer ist der Gouverneur von Wyoming?
When were the Hells Angels founded?,Wann wurden die Hells Angels gegründet?
Give me all libraries established earlier than 1400.,"Gib mir alle Bibliotheken, die vor 1400 gegründet worden."
How many countries are there in Europe?,Wieviele Länder gibt es in Europa?
Who is the mayor of Berlin?,Wer ist der Bürgermeister von Berlin?
How many people live in the capital of Australia?,Wieviele Menschen leben in der Hauptstadt Australiens?
Who founded Intel?,Wer hat Intel gegründet?
Give me all B-sides of the Ramones.,Gib mir alle B-Seiten der Ramones.
Give me all Apollo 14 astronauts.,Gib mir alle Apollo-14-Astronauten.
Give me all world heritage sites designated within the past two years.,"Gib mir alle Welterbestätten, die in den vergangenen zwei Jahren aufgenommen wurden."
Which cities does the Weser flow through?,Durch welche Städte fließt die Weser?
Give me all movies directed by Francis Ford Coppola.,"Gib mir alle Filme, bei denen Francis Ford Coppola Regie geführt hat."
What is the ruling party in Lisbon?,Welche Partei regiert in Lissabon?
Who produces Orangina?,Wer stellt Orangina her?
Give me all companies in Munich.,Gib mir alle Unternehmen in München.
What is the melting point of copper?,Wo liegt der Schmelzpunkt von Kupfer?
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,War die Kubakrise vor der Schweinebuchtinvasion?
Who was John F. Kennedy's vice president?,Wer war der Vizepräsident unter John F. Kennedy?
Who is the Formula 1 race driver with the most races?,Wer ist der Formel-1-Fahrer mit den meisten Rennen?
Which U.S. state has been admitted latest?,Welcher US-Bundesstaat wurde zuletzt aufgenommen?
Give me all Methodist politicians.,"Gib mir alle Politiker, die Methodisten sind."
What is the highest place of the Urals?,Was ist die höhchste Stelle des Ural?
Which monarchs were married to a German?,Welche Monarchen waren mit jemand deutschem verheiratet?
Show me all songs from Bruce Springsteen released between 1980 and 1990.,"Zeige mir alle Lieder von Bruce Springsteen, die zwischen 1980 und 1990 herausgebracht wurden."
Give me all professional skateboarders from Sweden.,Gib mir alle Profiskateboarder aus Schweden.
Give me all members of Prodigy.,Gib mir alle Bandmitglieder von Prodigy.
How many students does the Free University in Amsterdam have?,Wieviele Studenten hat die Freie Universität in Amsterdam?
Give me all Australian nonprofit organizations.,Gib mir alle gemeinnützigen Organisationen in Australien.
In which country does the Ganges start?,In welchem Land entspringt der Ganges?
Do Prince Harry and Prince William have the same parents?,Haben Prinz Harry und Prinz William dieselben Eltern?
How many missions does the Soyuz programme have?,Wieviele Missionen umfasst das Soyuz-Programm?
Give me all Danish movies.,Gib mir alle dänischen Filme.
Is Rita Wilson the wife of Tom Hanks?,Ist Rita Wilson die Frau von Tom Hanks?
Who was called Frank The Tank?,Wer wurde Frank The Tank genannt?
Which movies did Kurosawa direct?,Welche Filme hat Kurosawa gedreht?
Which television shows were created by John Cleese?,Welche Fernsehserien hat John Cleese entworfen?
Which awards did Douglas Hofstadter win?,Welche Preise hat Douglas Hofstadter gewonnen?
Who is the daughter of Robert Kennedy married to?,Mit wem ist die Tochter von Robert Kennedy verheiratet?
Who is the owner of Rolls-Royce?,Wem gehört Rolls-Royce?
Was the wife of president Lincoln called Mary?,Hieß die Frau von Präsident Lincoln Mary?
Who was the 16th president of the United States?,Wer war der 16. Präsident der Vereinigten Staaten?
Is Pamela Anderson a vegan?,Ist Pamela Anderson Veganer?
Give me all animal species that live in the Amazon rainforest.,"Gib mir alle Tierarten, die im Amazonas-Regenwald leben."
How many inhabitants does the largest city in Canada have?,Wieviele Einwohner hat die größte Stadt in Kanada?
In which studio did the Beatles record their first album?,In welchem Studio haben die Beatles ihr erstes Album aufgenommen?
Who was the first to climb Mount Everest?,Wer hat als erstes den Mount Everest bestiegen?
How many programming languages are there?,Wieviele Programmiersprachen gibt es?
What is the official color of the University of Oxford?,Was ist die offizielle Farbe der Universität Oxford?
How many gold medals did Michael Phelps win at the 2008 Olympics?,Wieviele Goldmedaillen hat Michael Phelps während der Olympischen Spiele 2008 gewonnen?
To which artistic movement did the painter of The Three Dancers belong?,Welcher Stilrichtung gehörte der Maler der Drei Tänzer an?
Give me all animals that are extinct.,Gib mir alle ausgestorbenen Tierarten.
Does Abraham Lincoln's death place have a website?,Hat Abraham Lincolns Sterbeort eine Webseite?
How deep is Lake Placid?,Wie tief ist Lake Placid?
Give me the grandchildren of Bruce Lee.,Gib mir die Enkel von Bruce Lee.
Who is the youngest Darts player?,Wer ist der jüngste Dartspieler?
Where was Bach born?,Wo wurde Bach geboren?
In which countries can you pay using the West African CFA franc?,In welchen Ländern kann ich mit dem CFA-Franc BCEAO bezahlen?
What are the top-10 action role-playing video games according to IGN?,Was sind laut IGN die Top-10-Action-Rollenspiele?
What is the most frequent cause of death?,Was ist die häufigste Todesursache?
Does the Isar flow into a lake?,Fließt die Isar in einen See?
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,"Gib mir alle Filme, die von Steven Spielberg produziert worden und ein Budget von mindestens 80 Millionen Dollar hatten."
Give me all writers that won the Nobel Prize in literature.,"Gib mir alle Schriftsteller, die den Literaturnobelpreis gewonnen haben."
Give me all taikonauts.,Gib mir alle Taikonauten.
How many pages does War and Peace have?,Wieviele Seiten hat Krieg und Frieden?
What is the bridge with the longest span?,Welche Brücke hat die längste Spannweite?
Give me all actors called Baldwin.,"Gib mir alle Schauspieler, die Baldwin heißen."
Who is the tallest player of the Atlanta Falcons?,Wer ist der größte Spieler der Atlanta Falcons?
Which rivers flow into a German lake?,Welche Flüsse fließen in deutsche Seen?
How many James Bond movies are there?,Wieviele James-Bond-Filme gibt es?
Which rockets were launched from Baikonur?,Welche Raketen sind von Baikonur gestartet?
Which pope succeeded John Paul II?,Welcher Papst folgte auf Johannes Paul II?
Give me all Dutch parties.,Gib mir alle Niederländischen Parteien.
When is Halloween?,Wann ist Halloween?
Give me all Swedish oceanographers.,Gib mir alle Schwedischen Ozeanographen.
Give me all actors who were born in Berlin.,Gib mir alle in Berlin geborenenen Schauspieler.
What was the last movie with Alec Guinness?,Was war der letzte Film mit Alec Guinness?
Which poet wrote the most books?,Welcher Dichter hat die meisten Bücher geschrieben?
How many languages are spoken in Colombia?,Wieviele Sprachen werden in Kolumbien gesprochen?
What does IYCM stand for?,Wofür steht IYCM?
What was Brazil's lowest rank in the FIFA World Ranking?,Was war Brasiliens niedrigste Platzierung in der FIFA-Weltrangliste?
Give me the capitals of all countries that the Himalayas run through.,"Gib mir die Haupstädte aller Länder, über die sich der Himalaya erstreckt."
Which actor played Chewbacca?,Welcher Schauspieler hat Chewbacca gespielt?
Which ingredients do I need for carrot cake?,Welche Zutaten brauche ich für Möhrenkuchen?
Is Cola a beverage?,Ist Cola ein Getränk?
Who has Tom Cruise been married to?,Mit wem war Tom Cruise verheiratet?
Which of Tim Burton's films had the highest budget?,Welcher von Tim Burtons Filmen hatte das höchste Budget?
How heavy is Jupiter's lightest moon?,Wie schwer ist Jupiters leichtester Mond?
Which actor was casted in the most movies?,Welcher Schauspieler spielte in den meisten Filmen mit?
Is James Bond married?,Ist James Bond verheiratet?
Give me all Australian metalcore bands.,Gib mir alle australischen Metalcore-Bands.
Give me all actors who were born in Paris after 1950.,"Gib mir alle Schauspieler, die nach 1950 in Paris geboren wurden."
When was Carlo Giuliani shot?,Wann wurde Carlo Giuliani erschossen?
Who are the four youngest MVP basketball players?,Wer sind die vier jüngsten MVP Baskettballspieler?
Which companies have more than 1 million employees?,Welche Unternehmen haben mehr als 1 Millionen Angestellte?
Give all swimmers that were born in Moscow.,"Zeig mir alle Schwimmer, die in Moskau geboren wurden."
Who was called Rodzilla?,Wer wurde Rodzilla genannt?
Show me the book that Muhammad Ali wrote.,"Zeig mir das Buch, das Muhammad Ali geschrieben hat."
How many museums does Paris have?,Wieviele Museen hat Paris?
Which city has the most inhabitants?,Welche Stadt hat die meisten Einwohner?
Which city has the least inhabitants?,Welche Stadt hat die wenigsten Einwohner?
Give me all the TV shows with Neil Patrick Harris.,Gib mir alle Fernsehserien mit Neil Patrick Harris.
Who wrote The Hunger Games?,Wer hat Die Tribute von Panem geschrieben?
Show a list of soccer clubs that play in the Bundesliga.,"Zeig mir eine Liste der Fußballvereine, die in der Bundesliga spielen."
What country is Mount Everest in?,In welchem Land ist der Mount Everest?
Who is the founder of Penguin Books?,Wer hat Penguin Books gegründet?
Which programming languages influenced Javascript?,Welche Programmiersprachen haben Javascript beeinflusst?
Did Che Guevara have children?,Hatte Che Guevara Kinder?
List all the musicals with music by Elton John.,Liste alle Musicals mit Musik von Elton John auf.
Show me all the breweries in Australia.,Zeig mir alle Brauereien in Australien.
When was the Titanic completed?,Wann wurde die Titanic fertiggestellt?
How much did Pulp Fiction cost?,Wieviel hat Pulp Fiction gekostet?
How many airlines are there?,Wieviele Fluggesellschaften gibt es?
Who played Agent Smith in Matrix?,Wer hat Agent Smith in Matrix gespielt?
How much carbs does peanut butter have?,Wieviele Kohlenhydrate hat Erdnussbutter?
Which book has the most pages?,Welches Buch hat die meisten Seiten?
Which bridges cross the Seine?,Welche Brücken überqueren die Seine?
Who is the mayor of the capital of French Polynesia?,Wer ist der Bürgermeister der Hauptstadt von Französisch-Polynesien?
When did Dracula's creator die?,Wann ist Draculas Schöpfer gestorben?
What is the location of the Houses of Parliament?,Wo ist der Westminster-Palast?
Show me all English Gothic buildings in Kent.,"Zeige mir alle Gebäude in Kent, die im Stil der englischen Gothik erbaut wurden."
Who was the pope that founded the Vatican Television?,Welcher Papst hat das Vatikanische Fernsehen gegründet?
What airlines are part of the SkyTeam alliance?,Welche Fluggesellschaften sind Teil der SkyTeam-Allianz?
"What is the total population of Melbourne, Florida?","Was ist die Gesamteinwohnerzahl von Melbourne, Florida?"
Which airports does Air China serve?,Welche Flughäfen fliegt Air China an?
In which year was Rachel Stevens born?,In welchem Jahr wurde Rachel Stevens geboren?
Where was JFK assassinated?,Wo wurde JFK ermordet?
How many politicians graduated from Columbia University?,Wieviele Politiker haben einen Abschluss von der Columbia University?
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,Welcher Wissenschaftler ist bekannt für das Manhattan-Projekt und den Friedensnobelpreis?
What is the highest volcano in Africa?,Was ist der höchste Vulkan in Afrika?
Which beer originated in Ireland?,Welches Bier kommt aus Irland?
What are the specialities of the UNC Health Care?,Worauf ist die UNC Health Care spezialisiert?
Who is the owner of Facebook?,Wem gehört Facebook?
From which region is the Melon de Bourgogne?,Aus welcher Region ist der Melon de Bourgogne?
Who was influenced by Socrates?,Wer wurde von Sokrates beeinflusst?
Who was president of Pakistan in 1978?,Wer war 1978 Präsident von Pakistan?
Give me English actors starring in Lovesick.,"Gib mir britische Schauspieler, die in Lovesick mitspielen."
Give me all types of eating disorders.,Zeig mir alle Arten von Essstörungen.
Who was married to president Chirac?,Wer war mit Präsident Chirac verheiratet?
What is the largest metropolitan area in Washington state?,Was ist das größte Ballungsgebiet im Staat Washington?
Where in France is sparkling wine produced?,Wo in Frankreich wird Schaumwein hergestellt?
Where did Hillel Slovak die?,Wo ist Hillel Slovak gestorben?
What is the timezone in San Pedro de Atacama?,In welcher Zeitzone liegt San Pedro de Atacama?
In which city does the Chile Route 68 end?,In welcher Stadt hört die Ruta 68 auf?
Butch Otter is the governor of which U.S. state?,Von welchem US-Bundesstaat ist Butch Otter der Gouverneur?
How tall is Amazon Eve?,Wie groß ist Amazon Eve?
Which weapons did Heckler & Koch develop?,Welche Waffen hat Heckler & Koch entwickelt?
Where is Fort Knox located?,Wo liegt Fort Knox?
Who created Batman?,Wer hat Batman erfunden?
Which politicians were married to a German?,Welche Politiker waren mit jemand deutschem verheiratet?
When was Jack Wolfskin founded?,Wann wurde Jack Wolfskin gegründet?
How deep is Lake Chiemsee?,Wie tief ist der Chiemsee?
Give me the grandchildren of Elvis Presley.,Gib mir die Enkel von Elvis Presley.
What does ICRO stand for?,Wofür steht ICRO?
When was Olof Palme shot?,Wann wurde Olof Palme erschossen?
List all the musicals with music by Leonard Bernstein.,Liste alle Musicals mit Musik von Leonard Bernstein auf.
Which airports does Yeti Airlines serve?,Welche Flughäfen fliegt Yeti Airlines an?
Give me all ESA astronauts.,Gib mir alle ESA-Astronauten.
